"dataset","algorithm","n","p","mean_sec","median_sec","sd_sec","min_sec","max_sec","reps","inner_rep"
"housing_1997_2023","lasso_original",27,7,0.00167499999999995,0.0019999999999996,0.00178442629861527,0,0.00400000000000063,80,5
"housing_1997_2023","lars_fast",27,7,0.00120000000000001,0,0.00164124065452824,0,0.00400000000000063,80,5
"housing_1997_2023","glmnet_fast",27,7,0.00157499999999995,0.000999999999999091,0.00173405940651312,0,0.00400000000000205,80,5
"example_2","lasso_original",16,4,0.00147500000000006,0.0019999999999996,0.000907137894514267,0,0.00400000000000063,120,10
"example_2","lars_fast",16,4,0.000816666666666611,0.000999999999999091,0.000840001333865692,0,0.00200000000000102,120,10
"example_2","glmnet_fast",16,4,0.0014416666666668,0.00100000000000193,0.000786395172255316,0,0.0039999999999992,120,10
"example_3","lasso_original",16,16,0.00255,0.00300000000000011,0.00120118988626136,0,0.00500000000000114,120,10
"example_3","lars_fast",16,16,0.00171666666666679,0.00199999999999818,0.00127801930084539,0,0.00600000000000023,120,10
"example_3","glmnet_fast",16,16,0.00172500000000023,0.00199999999999818,0.00106085822241594,0,0.00400000000000205,120,10
