"scenario_id","replication","seed","n","p","dimension","correlation","active_s","snr","noise_sd","representation","scheme","p_representation","raw_density","fit_success_count","fit_error","elapsed_seconds","tau_lasso_lar","tau_lasso_glmnet","tau_lar_glmnet","mean_entry_tau","mean_jaccard_s","mean_jaccard_2s","precision_lasso","recall_lasso","f1_lasso","rmse_lasso","selected_size_lasso","precision_lar","recall_lar","f1_lar","rmse_lar","selected_size_lar","precision_glmnet","recall_glmnet","f1_glmnet","rmse_glmnet","selected_size_glmnet","mean_support_f1","mean_rmse","original_mean_entry_tau","original_mean_jaccard_s","original_mean_jaccard_2s","original_mean_support_f1","original_mean_rmse","delta_mean_entry_tau","delta_mean_jaccard_s","delta_mean_jaccard_2s","delta_mean_support_f1","delta_mean_rmse"
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"sparsified","quantile_2",40,0.5,3,"",0.00999999999999091,1,0.978720969859186,0.978720969859186,0.985813979906124,0.888888888888889,1,0.8,0.8,0.8,2.3181110360632,5,0.8,0.8,0.8,2.3181110360632,5,0.833333333333333,1,0.909090909090909,2.27383410642473,6,0.836363636363636,2.30335205951704,0.99294512772322,1,1,1,1.91902049126707,-0.00713114781709567,-0.111111111111111,0,-0.163636363636364,0.384331568249974
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"sparsified","quantile_4",80,0.25,3,"",0.110000000000014,1,0.997364949306553,0.997364949306553,0.998243299537702,1,1,0.8,0.8,0.8,2.37601474881262,5,0.8,0.8,0.8,2.37601474881262,5,0.8,0.8,0.8,2.36780955957982,5,0.8,2.37327968573502,0.99294512772322,1,1,1,1.91902049126707,0.00529817181448244,0,0,-0.2,0.454259194467948
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"sparsified","quantile_8",160,0.125,3,"",0.25,1,0.992073851240818,0.992073851240818,0.994715900827212,1,0.939393939393939,0.6,0.6,0.6,2.80202848262179,5,0.6,0.6,0.6,2.80202848262179,5,0.6,0.6,0.6,2.82642978704056,5,0.6,2.81016225076138,0.99294512772322,1,1,1,1.91902049126707,0.00177077310399265,0,-0.0606060606060607,-0.4,0.891141759494315
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"sparsified","equal_width_4",80,0.25,3,"",0.0600000000000023,1,0.98675438206593,0.98675438206593,0.991169588043954,0.888888888888889,1,0.8,0.8,0.8,2.45745596390603,5,0.8,0.8,0.8,2.45745596390603,5,0.833333333333333,1,0.909090909090909,2.42462589058962,6,0.836363636363636,2.44651260613389,0.99294512772322,1,1,1,1.91902049126707,-0.00177553967926602,-0.111111111111111,0,-0.163636363636364,0.527492114866825
1,2,20360713,100,20,"n=100, p=20","independent",5,3,1.22580087702912,"sparsified","quantile_2",40,0.5,3,"",0.0299999999999727,1,0.984083864633284,0.984083864633284,0.989389243088856,1,1,1,1,1,1.65185311493514,5,1,1,1,1.65185311493514,5,1,1,1,1.854188987787,5,1,1.71929840588576,0.991169588043954,1,1,1,1.59561684677859,-0.00178034495509771,0,0,0,0.12368155910717
1,2,20360713,100,20,"n=100, p=20","independent",5,3,1.22580087702912,"sparsified","quantile_4",80,0.25,3,"",0.150000000000006,1,0.98675438206593,0.98675438206593,0.991169588043954,1,1,1,1,1,1.77904410679536,5,1,1,1,1.77904410679536,5,1,1,1,1.97471432459019,5,1,1.84426751272697,0.991169588043954,1,1,1,1.59561684677859,0,0,0,0,0.24865066594838
1,2,20360713,100,20,"n=100, p=20","independent",5,3,1.22580087702912,"sparsified","quantile_8",160,0.125,3,"",0.179999999999978,1,0.997364949306553,0.997364949306553,0.998243299537702,1,1,0.6,0.6,0.6,2.32922068050694,5,0.6,0.6,0.6,2.32922068050694,5,0.6,0.6,0.6,2.34370229147611,5,0.6,2.33404788416333,0.991169588043954,1,1,1,1.59561684677859,0.00707371149374847,0,0,-0.4,0.738431037384739
1,2,20360713,100,20,"n=100, p=20","independent",5,3,1.22580087702912,"sparsified","equal_width_4",80,0.25,3,"",0.0900000000000034,1,0.98941769158483,0.98941769158483,0.99294512772322,0.888888888888889,1,0.8,0.8,0.8,2.32729315698572,5,0.8,0.8,0.8,2.32729315698572,5,0.666666666666667,0.8,0.727272727272727,2.32188220114119,6,0.775757575757576,2.32548950503754,0.991169588043954,1,1,1,1.59561684677859,0.00177553967926602,-0.111111111111111,0,-0.224242424242424,0.729872658258953
1,3,20360714,100,20,"n=100, p=20","independent",5,3,1.28524919800685,"sparsified","quantile_2",40,0.5,3,"",0.0200000000000102,1,0.992073851240818,0.992073851240818,0.994715900827212,1,0.939393939393939,1,1,1,2.33895113850217,5,1,1,1,2.33895113850217,5,1,1,1,2.27185437865099,5,1,2.31658555188511,0.991169588043954,1,1,1,1.79181573714064,0.00354631278325868,0,-0.0606060606060607,0,0.524769814744468
1,3,20360714,100,20,"n=100, p=20","independent",5,3,1.28524919800685,"sparsified","quantile_4",80,0.25,3,"",0.110000000000014,1,0.981406080446235,0.981406080446235,0.987604053630823,1,1,1,1,1,2.2673010809156,5,1,1,1,2.2673010809156,5,1,1,1,2.31463241999102,5,1,2.28307819394074,0.991169588043954,1,1,1,1.79181573714064,-0.00356553441313023,0,0,0,0.491262456800097
1,3,20360714,100,20,"n=100, p=20","independent",5,3,1.28524919800685,"sparsified","quantile_8",160,0.125,3,"",0.420000000000016,1,0.99472291830968,0.99472291830968,0.996481945539787,1,0.939393939393939,1,1,1,2.29290275734506,5,1,1,1,2.29290275734506,5,1,1,1,2.28869820703914,5,1,2.29150124057642,0.991169588043954,1,1,1,1.79181573714064,0.00531235749583314,0,-0.0606060606060607,0,0.499685503435777
1,3,20360714,100,20,"n=100, p=20","independent",5,3,1.28524919800685,"sparsified","equal_width_4",80,0.25,3,"",0.20999999999998,1,0.981406080446235,0.981406080446235,0.987604053630823,0.80952380952381,1,0.8,0.8,0.8,2.27645759475744,5,0.8,0.8,0.8,2.27645759475744,5,0.714285714285714,1,0.833333333333333,2.25009622048128,7,0.811111111111111,2.26767046999872,0.991169588043954,1,1,1,1.79181573714064,-0.00356553441313023,-0.19047619047619,0,-0.188888888888889,0.47585473285808
1,4,20360715,100,20,"n=100, p=20","independent",5,3,1.29774798620493,"sparsified","quantile_2",40,0.5,3,"",0.0600000000000023,1,0.992073851240818,0.992073851240818,0.994715900827212,1,1,1,1,1,2.05448814772945,5,1,1,1,2.05448814772945,5,1,1,1,2.06152884117675,5,1,2.05683504554522,0.998243299537702,0.888888888888889,1,0.96969696969697,1.97280957975335,-0.00352739871048979,0.111111111111111,0,0.0303030303030303,0.0840254657918607
1,4,20360715,100,20,"n=100, p=20","independent",5,3,1.29774798620493,"sparsified","quantile_4",80,0.25,3,"",0.25,1,0.984083864633284,0.984083864633284,0.989389243088856,1,0.888888888888889,0.8,0.8,0.8,2.19675432940548,5,0.8,0.8,0.8,2.19675432940548,5,0.8,0.8,0.8,2.19930699554082,5,0.8,2.19760521811726,0.998243299537702,0.888888888888889,1,0.96969696969697,1.97280957975335,-0.00885405644884618,0.111111111111111,-0.111111111111111,-0.16969696969697,0.22479563836391
1,4,20360715,100,20,"n=100, p=20","independent",5,3,1.29774798620493,"sparsified","quantile_8",160,0.125,3,"",0.47999999999999,1,0.98675438206593,0.98675438206593,0.991169588043954,0.888888888888889,1,0.8,0.8,0.8,2.54769708944914,5,0.8,0.8,0.8,2.54769708944914,5,0.833333333333333,1,0.909090909090909,2.52575808833366,6,0.836363636363636,2.54038408907732,0.998243299537702,0.888888888888889,1,0.96969696969697,1.97280957975335,-0.00707371149374847,0,0,-0.133333333333333,0.567574509323961
1,4,20360715,100,20,"n=100, p=20","independent",5,3,1.29774798620493,"sparsified","equal_width_4",80,0.25,3,"",0.170000000000016,1,0.997364949306553,0.997364949306553,0.998243299537702,0.888888888888889,1,0.8,0.8,0.8,2.29936417995613,5,0.8,0.8,0.8,2.29936417995613,5,0.833333333333333,1,0.909090909090909,2.26025364679232,6,0.836363636363636,2.28632733556819,0.998243299537702,0.888888888888889,1,0.96969696969697,1.97280957975335,0,0,0,-0.133333333333333,0.313517755814837
1,5,20360716,100,20,"n=100, p=20","independent",5,3,1.3350023965373,"sparsified","quantile_2",40,0.5,3,"",0.0599999999999739,1,0.984083864633284,0.984083864633284,0.989389243088856,1,0.939393939393939,1,1,1,2.30523736413056,5,1,1,1,2.30523736413056,5,1,1,1,2.27997090952712,5,1,2.29681521259608,0.996481945539787,1,1,1,1.75184534395894,-0.00709270245093085,0,-0.0606060606060607,0,0.544969868637134
1,5,20360716,100,20,"n=100, p=20","independent",5,3,1.3350023965373,"sparsified","quantile_4",80,0.25,3,"",0.169999999999987,1,0.992073851240818,0.992073851240818,0.994715900827212,1,1,0.8,0.8,0.8,2.43043331488732,5,0.8,0.8,0.8,2.43043331488732,5,0.8,0.8,0.8,2.43609656238347,5,0.8,2.4323210640527,0.996481945539787,1,1,1,1.75184534395894,-0.00176604471257447,0,0,-0.2,0.68047572009376
1,5,20360716,100,20,"n=100, p=20","independent",5,3,1.3350023965373,"sparsified","quantile_8",160,0.125,3,"",0.370000000000005,0.989473684210527,0.997364949306553,0.997364949306553,0.994734527607878,1,1,0.8,0.8,0.8,2.6751629225802,5,0.8,0.8,0.8,2.6751629225802,5,0.8,0.8,0.8,2.67116341465793,5,0.8,2.67382975327278,0.996481945539787,1,1,1,1.75184534395894,-0.00174741793190925,0,0,-0.2,0.921984409313835
1,5,20360716,100,20,"n=100, p=20","independent",5,3,1.3350023965373,"sparsified","equal_width_4",80,0.25,3,"",0.189999999999998,1,0.98675438206593,0.98675438206593,0.991169588043954,0.888888888888889,1,0.8,0.8,0.8,2.40493661036745,5,0.8,0.8,0.8,2.40493661036745,5,0.666666666666667,0.8,0.727272727272727,2.38774956268386,6,0.775757575757576,2.39920759447292,0.996481945539787,1,1,1,1.75184534395894,-0.00531235749583314,-0.111111111111111,0,-0.224242424242424,0.647362250513978
1,6,20360717,100,20,"n=100, p=20","independent",5,3,1.30600311173559,"sparsified","quantile_2",40,0.5,3,"",0.0800000000000125,1,0.99472291830968,0.99472291830968,0.996481945539787,1,1,1,1,1,1.75890284381232,5,1,1,1,1.75890284381232,5,1,1,1,1.9467348421193,5,1,1.82151350991464,1,1,1,1,1.59511727964018,-0.00351805446021325,0,0,0,0.226396230274469
1,6,20360717,100,20,"n=100, p=20","independent",5,3,1.30600311173559,"sparsified","quantile_4",80,0.25,3,"",0.239999999999981,1,0.99472291830968,0.99472291830968,0.996481945539787,1,1,0.8,0.8,0.8,2.2931592412219,5,0.8,0.8,0.8,2.2931592412219,5,0.8,0.8,0.8,2.30311117038767,5,0.8,2.29647655094382,1,1,1,1,1.59511727964018,-0.00351805446021325,0,0,-0.2,0.701359271303646
1,6,20360717,100,20,"n=100, p=20","independent",5,3,1.30600311173559,"sparsified","quantile_8",160,0.125,3,"",0.409999999999997,0.989473684210527,0.978778791675315,0.98941769158483,0.985890055823557,0.888888888888889,0.939393939393939,0.6,0.6,0.6,2.39429542663386,5,0.6,0.6,0.6,2.39429542663386,5,0.666666666666667,0.8,0.727272727272727,2.38770592163969,6,0.642424242424242,2.39209892496914,1,1,1,1,1.59511727964018,-0.014109944176443,-0.111111111111111,-0.0606060606060607,-0.357575757575758,0.79698164532896
1,6,20360717,100,20,"n=100, p=20","independent",5,3,1.30600311173559,"sparsified","equal_width_4",80,0.25,3,"",0.27000000000001,1,0.98941769158483,0.98941769158483,0.99294512772322,0.888888888888889,1,1,1,1,2.18697463685361,5,1,1,1,2.18697463685361,5,0.833333333333333,1,0.909090909090909,2.18303312962361,6,0.96969696969697,2.18566080111027,1,1,1,1,1.59511727964018,-0.00705487227678037,-0.111111111111111,0,-0.0303030303030303,0.590543521470097
