"dimension","correlation","scheme","metric","replications","mean","ci_lower","ci_upper"
"n=100, p=100","ar1_rho_0.5","equal_width_4","delta_mean_support_f1",100,-0.270481209611644,-0.294749404513667,-0.246213014709622
"n=100, p=100","ar1_rho_0.5","equal_width_4","delta_mean_rmse",100,0.721730071169827,0.680344430755231,0.763115711584423
"n=100, p=100","ar1_rho_0.9","quantile_2","delta_mean_support_f1",100,-0.0735324675324675,-0.0948329359892834,-0.0522319990756517
"n=100, p=100","ar1_rho_0.9","quantile_2","delta_mean_rmse",100,0.295071530129373,0.263093069546351,0.327049990712396
"n=100, p=100","ar1_rho_0.9","quantile_4","delta_mean_support_f1",100,-0.135529769747161,-0.157911600229205,-0.113147939265117
"n=100, p=100","ar1_rho_0.9","quantile_4","delta_mean_rmse",100,0.474283028803061,0.438338939864134,0.510227117741987
"n=100, p=100","ar1_rho_0.9","quantile_8","delta_mean_support_f1",100,-0.202954074910597,-0.229659689382372,-0.176248460438821
"n=100, p=100","ar1_rho_0.9","quantile_8","delta_mean_rmse",100,0.700722441860654,0.653658994060851,0.747785889660457
"n=100, p=100","ar1_rho_0.9","equal_width_4","delta_mean_support_f1",100,-0.189836595771378,-0.215777414982174,-0.163895776560583
"n=100, p=100","ar1_rho_0.9","equal_width_4","delta_mean_rmse",100,0.635076859469815,0.590719328541615,0.679434390398014
"n=100, p=100","block","quantile_2","delta_mean_support_f1",100,-0.0787519292301901,-0.0972016949734287,-0.0603021634869515
"n=100, p=100","block","quantile_2","delta_mean_rmse",100,0.280722931416487,0.250976356070243,0.310469506762732
"n=100, p=100","block","quantile_4","delta_mean_support_f1",100,-0.143680751615534,-0.16583123548128,-0.121530267749789
"n=100, p=100","block","quantile_4","delta_mean_rmse",100,0.463921212316473,0.430270603864182,0.497571820768763
"n=100, p=100","block","quantile_8","delta_mean_support_f1",100,-0.229641759206977,-0.258017414708523,-0.20126610370543
"n=100, p=100","block","quantile_8","delta_mean_rmse",100,0.698264910031443,0.65707829283462,0.739451527228266
"n=100, p=100","block","equal_width_4","delta_mean_support_f1",100,-0.219712968191229,-0.244883016812272,-0.194542919570187
"n=100, p=100","block","equal_width_4","delta_mean_rmse",100,0.631046987751789,0.592820282676906,0.669273692826671
"n=100, p=200","independent","quantile_2","delta_mean_support_f1",100,-0.0528916124211076,-0.0666187626642422,-0.039164462177973
"n=100, p=200","independent","quantile_2","delta_mean_rmse",100,0.290017541311175,0.261739646107622,0.318295436514728
"n=100, p=200","independent","quantile_4","delta_mean_support_f1",100,-0.21132394018242,-0.231945091657059,-0.190702788707781
"n=100, p=200","independent","quantile_4","delta_mean_rmse",100,0.585599697703858,0.545973574647503,0.625225820760213
"n=100, p=200","independent","quantile_8","delta_mean_support_f1",100,-0.317429413656867,-0.34050378708722,-0.294355040226514
"n=100, p=200","independent","quantile_8","delta_mean_rmse",100,0.795010272594248,0.747969524501597,0.842051020686899
"n=100, p=200","independent","equal_width_4","delta_mean_support_f1",100,-0.221984553554888,-0.244561728642367,-0.199407378467409
"n=100, p=200","independent","equal_width_4","delta_mean_rmse",100,0.702754935143708,0.661358755064325,0.744151115223091
"n=100, p=200","ar1_rho_0.5","quantile_2","delta_mean_support_f1",100,-0.084969636401287,-0.101536561991965,-0.0684027108106088
"n=100, p=200","ar1_rho_0.5","quantile_2","delta_mean_rmse",100,0.314611946647446,0.285127562719444,0.344096330575449
"n=100, p=200","ar1_rho_0.5","quantile_4","delta_mean_support_f1",100,-0.199992966229458,-0.219656177741257,-0.180329754717658
"n=100, p=200","ar1_rho_0.5","quantile_4","delta_mean_rmse",100,0.618568894619734,0.581116612342263,0.656021176897206
"n=100, p=200","ar1_rho_0.5","quantile_8","delta_mean_support_f1",100,-0.290864353908313,-0.313825355202673,-0.267903352613953
"n=100, p=200","ar1_rho_0.5","quantile_8","delta_mean_rmse",100,0.819260263006693,0.773208216003486,0.865312310009901
"n=100, p=200","ar1_rho_0.5","equal_width_4","delta_mean_support_f1",100,-0.231004303631076,-0.250022583020342,-0.21198602424181
"n=100, p=200","ar1_rho_0.5","equal_width_4","delta_mean_rmse",100,0.723015816196427,0.681647507715025,0.764384124677829
"n=100, p=200","ar1_rho_0.9","quantile_2","delta_mean_support_f1",100,-0.0484570574065753,-0.063616590142091,-0.0332975246710596
"n=100, p=200","ar1_rho_0.9","quantile_2","delta_mean_rmse",100,0.397758532302666,0.366040295830765,0.429476768774568
"n=100, p=200","ar1_rho_0.9","quantile_4","delta_mean_support_f1",100,-0.111672443992637,-0.129760944787813,-0.0935839431974609
"n=100, p=200","ar1_rho_0.9","quantile_4","delta_mean_rmse",100,0.711234797380416,0.66960814011217,0.752861454648663
"n=100, p=200","ar1_rho_0.9","quantile_8","delta_mean_support_f1",100,-0.149950815177134,-0.16812092464663,-0.131780705707638
"n=100, p=200","ar1_rho_0.9","quantile_8","delta_mean_rmse",100,1.0753681836142,1.02274623838933,1.12799012883906
"n=100, p=200","ar1_rho_0.9","equal_width_4","delta_mean_support_f1",100,-0.129164634350964,-0.148186319501722,-0.110142949200206
"n=100, p=200","ar1_rho_0.9","equal_width_4","delta_mean_rmse",100,0.93126582469903,0.879645937524221,0.98288571187384
"n=100, p=200","block","quantile_2","delta_mean_support_f1",100,-0.0634434593892904,-0.0774453283956445,-0.0494415903829363
"n=100, p=200","block","quantile_2","delta_mean_rmse",100,0.402493631516473,0.370108200009613,0.434879063023332
"n=100, p=200","block","quantile_4","delta_mean_support_f1",100,-0.123297551246231,-0.138527801465333,-0.108067301027129
"n=100, p=200","block","quantile_4","delta_mean_rmse",100,0.728274431055825,0.686861669870978,0.769687192240673
"n=100, p=200","block","quantile_8","delta_mean_support_f1",100,-0.180804261724284,-0.200494516826503,-0.161114006622066
"n=100, p=200","block","quantile_8","delta_mean_rmse",100,1.05688886788949,1.00413389146761,1.10964384431136
"n=100, p=200","block","equal_width_4","delta_mean_support_f1",100,-0.151468865518213,-0.16896903835191,-0.133968692684517
"n=100, p=200","block","equal_width_4","delta_mean_rmse",100,0.916070484824328,0.864474737847111,0.967666231801544
"n=500, p=100","independent","quantile_2","delta_mean_support_f1",100,-0.005,-0.00929324110572877,-0.00070675889427123
"n=500, p=100","independent","quantile_2","delta_mean_rmse",100,0.366987953237115,0.334374108362314,0.399601798111917
"n=500, p=100","independent","quantile_4","delta_mean_support_f1",100,-0.0166122717861848,-0.0241243751080052,-0.00910016846436442
"n=500, p=100","independent","quantile_4","delta_mean_rmse",100,0.527759503823162,0.499225788604449,0.556293219041875
"n=500, p=100","independent","quantile_8","delta_mean_support_f1",100,-0.0948979860718991,-0.108651569442765,-0.0811444027010333
"n=500, p=100","independent","quantile_8","delta_mean_rmse",100,0.892916428890611,0.862724397422353,0.923108460358869
"n=500, p=100","independent","equal_width_4","delta_mean_support_f1",100,-0.0529177489177489,-0.064429197356993,-0.0414063004785048
"n=500, p=100","independent","equal_width_4","delta_mean_rmse",100,0.739196209391211,0.70133130377324,0.777061115009182
"n=500, p=100","ar1_rho_0.5","quantile_2","delta_mean_support_f1",100,-0.0252308802308802,-0.034005163397449,-0.0164565970643114
"n=500, p=100","ar1_rho_0.5","quantile_2","delta_mean_rmse",100,0.31392769955938,0.27671197241548,0.35114342670328
"n=500, p=100","ar1_rho_0.5","quantile_4","delta_mean_support_f1",100,-0.0840004391743522,-0.0973242817535423,-0.0706765965951621
"n=500, p=100","ar1_rho_0.5","quantile_4","delta_mean_rmse",100,0.524334641538114,0.487071355955936,0.561597927120292
"n=500, p=100","ar1_rho_0.5","quantile_8","delta_mean_support_f1",100,-0.174518037518037,-0.191219140373327,-0.157816934662748
"n=500, p=100","ar1_rho_0.5","quantile_8","delta_mean_rmse",100,0.908254857340718,0.866060760541877,0.950448954139559
"n=500, p=100","ar1_rho_0.5","equal_width_4","delta_mean_support_f1",100,-0.165643578643579,-0.182277704991441,-0.149009452295716
"n=500, p=100","ar1_rho_0.5","equal_width_4","delta_mean_rmse",100,0.862934879094465,0.814796400080449,0.911073358108481
"n=500, p=100","ar1_rho_0.9","quantile_2","delta_mean_support_f1",100,-0.113403162055336,-0.131357255893977,-0.0954490682166946
"n=500, p=100","ar1_rho_0.9","quantile_2","delta_mean_rmse",100,0.30632606754958,0.265076177864034,0.347575957235126
"n=500, p=100","ar1_rho_0.9","quantile_4","delta_mean_support_f1",100,-0.19155336209684,-0.212364906689432,-0.170741817504249
"n=500, p=100","ar1_rho_0.9","quantile_4","delta_mean_rmse",100,0.526922427399873,0.481626548685977,0.572218306113769
"n=500, p=100","ar1_rho_0.9","quantile_8","delta_mean_support_f1",100,-0.294207541251019,-0.316871278730365,-0.271543803771674
"n=500, p=100","ar1_rho_0.9","quantile_8","delta_mean_rmse",100,0.768939009580194,0.715407346251047,0.822470672909342
"n=500, p=100","ar1_rho_0.9","equal_width_4","delta_mean_support_f1",100,-0.307070794905577,-0.332123723244827,-0.282017866566328
"n=500, p=100","ar1_rho_0.9","equal_width_4","delta_mean_rmse",100,0.766816478330186,0.711872567068277,0.821760389592094
"n=500, p=100","block","quantile_2","delta_mean_support_f1",100,-0.096206324110672,-0.111395812682772,-0.0810168355385718
"n=500, p=100","block","quantile_2","delta_mean_rmse",100,0.320880394114785,0.28856477303776,0.353196015191811
"n=500, p=100","block","quantile_4","delta_mean_support_f1",100,-0.211705872388481,-0.232068607202859,-0.191343137574103
"n=500, p=100","block","quantile_4","delta_mean_rmse",100,0.624111788441216,0.581526560936791,0.666697015945642
"n=500, p=100","block","quantile_8","delta_mean_support_f1",100,-0.318361503231068,-0.340128557503638,-0.296594448958499
"n=500, p=100","block","quantile_8","delta_mean_rmse",100,0.908435244078759,0.860556224563486,0.956314263594032
"n=500, p=100","block","equal_width_4","delta_mean_support_f1",100,-0.347636972206537,-0.367986352422482,-0.327287591990593
"n=500, p=100","block","equal_width_4","delta_mean_rmse",100,0.91408813276811,0.864666417883833,0.963509847652388
