"path_specification","dimension","correlation","scheme","result_rows","complete_three_method_fits","incomplete_fits","mean_generated_features","mean_raw_density","median_elapsed_seconds"
"primary_controlled","n=500, p=100","ar1_rho_0.5","original",100,100,0,100,1,0.220000000001164
"primary_controlled","n=500, p=100","ar1_rho_0.5","quantile_2",100,100,0,200,0.5,0.789999999999054
"primary_controlled","n=500, p=100","ar1_rho_0.5","quantile_4",100,100,0,400,0.25,3.92499999999927
"primary_controlled","n=500, p=100","ar1_rho_0.5","quantile_8",100,100,0,800,0.125,10.915
"primary_controlled","n=500, p=100","ar1_rho_0.5","equal_width_4",100,100,0,400,0.25,3.86000000000058
"primary_controlled","n=500, p=100","ar1_rho_0.9","original",100,100,0,100,0.9999998,0.235000000000582
"primary_controlled","n=500, p=100","ar1_rho_0.9","quantile_2",100,100,0,200,0.5,0.819999999999709
"primary_controlled","n=500, p=100","ar1_rho_0.9","quantile_4",100,100,0,400,0.25,4.03000000000065
"primary_controlled","n=500, p=100","ar1_rho_0.9","quantile_8",100,100,0,800,0.125,10.4850000000006
"primary_controlled","n=500, p=100","ar1_rho_0.9","equal_width_4",100,100,0,400,0.25,4.10999999999967
"primary_controlled","n=500, p=100","block","original",100,100,0,100,1,0.229999999999563
"primary_controlled","n=500, p=100","block","quantile_2",100,100,0,200,0.5,0.780000000000655
"primary_controlled","n=500, p=100","block","quantile_4",100,100,0,400,0.25,3.91000000000167
"primary_controlled","n=500, p=100","block","quantile_8",100,100,0,800,0.125,10.6300000000001
"primary_controlled","n=500, p=100","block","equal_width_4",100,100,0,400,0.25,3.89000000000033
"sensitivity_dense_wide","n=100, p=20","independent","original",100,100,0,20,1,0.0200000000004366
"sensitivity_dense_wide","n=100, p=20","independent","quantile_2",100,100,0,40,0.5,0.0399999999990541
"sensitivity_dense_wide","n=100, p=20","independent","quantile_4",100,100,0,80,0.25,0.169999999999163
"sensitivity_dense_wide","n=100, p=20","independent","quantile_8",100,100,0,160,0.125,0.319999999999709
"sensitivity_dense_wide","n=100, p=20","independent","equal_width_4",100,100,0,80,0.25,0.160000000001673
"sensitivity_dense_wide","n=100, p=20","ar1_rho_0.5","original",100,100,0,20,1,0.0200000000004366
"sensitivity_dense_wide","n=100, p=20","ar1_rho_0.5","quantile_2",100,100,0,40,0.5,0.0499999999992724
"sensitivity_dense_wide","n=100, p=20","ar1_rho_0.5","quantile_4",100,100,0,80,0.25,0.159999999999854
"sensitivity_dense_wide","n=100, p=20","ar1_rho_0.5","quantile_8",100,100,0,160,0.125,0.324999999999818
"sensitivity_dense_wide","n=100, p=20","ar1_rho_0.5","equal_width_4",100,100,0,80,0.25,0.164999999999054
"sensitivity_dense_wide","n=100, p=20","ar1_rho_0.9","original",100,100,0,20,1,0.0300000000006548
"sensitivity_dense_wide","n=100, p=20","ar1_rho_0.9","quantile_2",100,100,0,40,0.5,0.0799999999999272
"sensitivity_dense_wide","n=100, p=20","ar1_rho_0.9","quantile_4",100,100,0,80,0.25,0.270000000000437
"sensitivity_dense_wide","n=100, p=20","ar1_rho_0.9","quantile_8",100,100,0,160,0.125,0.409999999999854
"sensitivity_dense_wide","n=100, p=20","ar1_rho_0.9","equal_width_4",100,100,0,80,0.25,0.270000000000437
"sensitivity_dense_wide","n=100, p=20","block","original",100,100,0,20,1,0.0299999999988358
"sensitivity_dense_wide","n=100, p=20","block","quantile_2",100,100,0,40,0.5,0.0600000000013097
"sensitivity_dense_wide","n=100, p=20","block","quantile_4",100,100,0,80,0.25,0.209999999999127
"sensitivity_dense_wide","n=100, p=20","block","quantile_8",100,100,0,160,0.125,0.389999999999418
"sensitivity_dense_wide","n=100, p=20","block","equal_width_4",100,100,0,80,0.25,0.229999999999563
"sensitivity_dense_wide","n=100, p=100","independent","original",100,100,0,100,1,0.389999999999418
"sensitivity_dense_wide","n=100, p=100","independent","quantile_2",100,100,0,200,0.5,0.290000000000873
"sensitivity_dense_wide","n=100, p=100","independent","quantile_4",100,100,0,400,0.25,0.329999999998108
"sensitivity_dense_wide","n=100, p=100","independent","quantile_8",100,100,0,800,0.125,0.469999999999345
"sensitivity_dense_wide","n=100, p=100","independent","equal_width_4",100,100,0,400,0.25,0.340000000000146
"sensitivity_dense_wide","n=100, p=100","ar1_rho_0.5","original",100,100,0,100,1,0.459999999999127
"sensitivity_dense_wide","n=100, p=100","ar1_rho_0.5","quantile_2",100,100,0,200,0.5,0.319999999999709
"sensitivity_dense_wide","n=100, p=100","ar1_rho_0.5","quantile_4",100,100,0,400,0.25,0.340000000000146
"sensitivity_dense_wide","n=100, p=100","ar1_rho_0.5","quantile_8",100,100,0,800,0.125,0.464999999998327
"sensitivity_dense_wide","n=100, p=100","ar1_rho_0.5","equal_width_4",100,100,0,400,0.25,0.354999999997744
"sensitivity_dense_wide","n=100, p=100","ar1_rho_0.9","original",100,100,0,100,1,0.715000000000146
"sensitivity_dense_wide","n=100, p=100","ar1_rho_0.9","quantile_2",100,100,0,200,0.5,0.530000000002474
