"path_specification","grid_index","lambda_fraction"
"primary_controlled",1,1
"primary_controlled",2,0.97712415353465
"primary_controlled",3,0.954771611420806
"primary_controlled",4,0.932930402628468
"primary_controlled",5,0.911588829975082
"primary_controlled",6,0.890735463861044
"primary_controlled",7,0.870359136148516
"primary_controlled",8,0.850448934180268
"primary_controlled",9,0.830994194935339
"primary_controlled",10,0.811984499318401
"primary_controlled",11,0.793409666579749
"primary_controlled",12,0.775259748862946
"primary_controlled",13,0.757525025877191
"primary_controlled",14,0.740195999691564
"primary_controlled",15,0.723263389648354
"primary_controlled",16,0.706718127392749
"primary_controlled",17,0.690551352016233
"primary_controlled",18,0.674754405311069
"primary_controlled",19,0.659318827133355
"primary_controlled",20,0.644236350872137
"primary_controlled",21,0.629498899022189
"primary_controlled",22,0.61509857885805
"primary_controlled",23,0.601027678207038
"primary_controlled",24,0.587278661318948
"primary_controlled",25,0.57384416483024
"primary_controlled",26,0.560716993820546
"primary_controlled",27,0.547890117959394
"primary_controlled",28,0.535356667741073
"primary_controlled",29,0.523109930805626
"primary_controlled",30,0.511143348344017
"primary_controlled",31,0.499450511585514
"primary_controlled",32,0.488025158365443
"primary_controlled",33,0.476861169771447
"primary_controlled",34,0.465952566866468
"primary_controlled",35,0.455293507486695
"primary_controlled",36,0.444878283112759
"primary_controlled",37,0.434701315812502
"primary_controlled",38,0.42475715525369
"primary_controlled",39,0.415040475785048
"primary_controlled",40,0.405546073584083
"primary_controlled",41,0.396268863870148
"primary_controlled",42,0.387203878181256
"primary_controlled",43,0.378346261713193
"primary_controlled",44,0.369691270719503
"primary_controlled",45,0.361234269970943
"primary_controlled",46,0.352970730273065
"primary_controlled",47,0.344896226040576
"primary_controlled",48,0.337006432927193
"primary_controlled",49,0.329297125509715
"primary_controlled",50,0.321764175025074
"primary_controlled",51,0.31440354715915
"primary_controlled",52,0.307211299886176
"primary_controlled",53,0.300183581357559
"primary_controlled",54,0.293316627839005
"primary_controlled",55,0.286606761694825
"primary_controlled",56,0.280050389418363
"primary_controlled",57,0.273643999707467
"primary_controlled",58,0.267384161583995
"primary_controlled",59,0.261267522556333
"primary_controlled",60,0.255290806823952
"primary_controlled",61,0.249450813523032
"primary_controlled",62,0.243744415012222
"primary_controlled",63,0.238168555197616
"primary_controlled",64,0.232720247896041
"primary_controlled",65,0.227396575235793
"primary_controlled",66,0.222194686093952
"primary_controlled",67,0.21711179456945
"primary_controlled",68,0.212145178491063
"primary_controlled",69,0.207292177959537
"primary_controlled",70,0.202550193923067
"primary_controlled",71,0.197916686785356
"primary_controlled",72,0.193389175045523
"primary_controlled",73,0.188965233969121
"primary_controlled",74,0.184642494289554
"primary_controlled",75,0.180418640939207
"primary_controlled",76,0.176291411809595
"primary_controlled",77,0.172258596539879
"primary_controlled",78,0.168318035333096
"primary_controlled",79,0.164467617799466
"primary_controlled",80,0.160705281826164
"primary_controlled",81,0.157029012472938
"primary_controlled",82,0.153436840893001
"primary_controlled",83,0.149926843278605
"primary_controlled",84,0.146497139830729
"primary_controlled",85,0.143145893752348
"primary_controlled",86,0.139871310264724
"primary_controlled",87,0.136671635646201
"primary_controlled",88,0.13354515629299
"primary_controlled",89,0.13049019780144
"primary_controlled",90,0.127505124071301
"primary_controlled",91,0.124588336429501
"primary_controlled",92,0.121738272773966
"primary_controlled",93,0.118953406737032
"primary_controlled",94,0.116232246867985
"primary_controlled",95,0.113573335834311
"primary_controlled",96,0.110975249641207
"primary_controlled",97,0.108436596868961
"primary_controlled",98,0.105956017927762
"primary_controlled",99,0.103532184329566
"primary_controlled",100,0.101163797976621
"primary_controlled",101,0.0988495904662559
"primary_controlled",102,0.096588322411587
"primary_controlled",103,0.0943787827777539
"primary_controlled",104,0.0922197882333433
"primary_controlled",105,0.0901101825166502
"primary_controlled",106,0.0880488358164347
"primary_controlled",107,0.0860346441668451
"primary_controlled",108,0.0840665288561833
"primary_controlled",109,0.0821434358491943
"primary_controlled",110,0.0802643352225718
"primary_controlled",111,0.0784282206133768
"primary_controlled",112,0.0766341086800746
"primary_controlled",113,0.0748810385759003
"primary_controlled",114,0.073168071434272
"primary_controlled",115,0.0714942898659758
"primary_controlled",116,0.0698587974678525
"primary_controlled",117,0.0682607183427239
"primary_controlled",118,0.0666991966303012
"primary_controlled",119,0.0651733960488243
"primary_controlled",120,0.0636824994471859
"primary_controlled",121,0.0622257083673023
"primary_controlled",122,0.0608022426164943
"primary_controlled",123,0.0594113398496504
"primary_controlled",124,0.058052255160949
"primary_controlled",125,0.0567242606849198
"primary_controlled",126,0.0554266452066311
"primary_controlled",127,0.0541587137807947
"primary_controlled",128,0.0529197873595844
"primary_controlled",129,0.0517092024289676
"primary_controlled",130,0.0505263106533568
"primary_controlled",131,0.0493704785283901
"primary_controlled",132,0.0482410870416537
"primary_controlled",133,0.0471375313411673
"primary_controlled",134,0.0460592204114511
"primary_controlled",135,0.045005576757005
"primary_controlled",136,0.0439760360930272
"primary_controlled",137,0.0429700470432084
"primary_controlled",138,0.0419870708444391
"primary_controlled",139,0.0410265810582719
"primary_controlled",140,0.0400880632889847
"primary_controlled",141,0.0391710149080926
"primary_controlled",142,0.0382749447851631
"primary_controlled",143,0.037399373024788
"primary_controlled",144,0.0365438307095726
"primary_controlled",145,0.0357078596490047
"primary_controlled",146,0.0348910121340677
"primary_controlled",147,0.0340928506974681
"primary_controlled",148,0.0333129478793468
"primary_controlled",149,0.0325508859983506
"primary_controlled",150,0.0318062569279412
"primary_controlled",151,0.0310786618778201
"primary_controlled",152,0.0303677111803546
"primary_controlled",153,0.0296730240818887
"primary_controlled",154,0.0289942285388288
"primary_controlled",155,0.0283309610183933
"primary_controlled",156,0.0276828663039207
"primary_controlled",157,0.0270495973046314
"primary_controlled",158,0.0264308148697411
"primary_controlled",159,0.0258261876068268
"primary_controlled",160,0.0252353917043477
"primary_controlled",161,0.024658110758226
"primary_controlled",162,0.0240940356023953
"primary_controlled",163,0.0235428641432242
"primary_controlled",164,0.0230043011977292
"primary_controlled",165,0.0224780583354873
"primary_controlled",166,0.0219638537241655
"primary_controlled",167,0.0214614119785841
"primary_controlled",168,0.0209704640132323
"primary_controlled",169,0.0204907468981585
"primary_controlled",170,0.0200220037181559
"primary_controlled",171,0.0195639834351706
"primary_controlled",172,0.019116440753857
"primary_controlled",173,0.0186791359902078
"primary_controlled",174,0.0182518349431904
"primary_controlled",175,0.0178343087693191
"primary_controlled",176,0.0174263338600965
"primary_controlled",177,0.017027691722259
"primary_controlled",178,0.0166381688607613
"primary_controlled",179,0.016257556664438
"primary_controlled",180,0.0158856512942805
"primary_controlled",181,0.0155222535742705
"primary_controlled",182,0.0151671688847092
"primary_controlled",183,0.0148202070579886
"primary_controlled",184,0.0144811822767453
"primary_controlled",185,0.0141499129743458
"primary_controlled",186,0.0138262217376466
"primary_controlled",187,0.0135099352119803
"primary_controlled",188,0.0132008840083142
"primary_controlled",189,0.0128989026125331
"primary_controlled",190,0.0126038292967973
"primary_controlled",191,0.0123155060329283
"primary_controlled",192,0.0120337784077759
"primary_controlled",193,0.0117584955405216
"primary_controlled",194,0.0114895100018731
"primary_controlled",195,0.0112266777351081
"primary_controlled",196,0.0109698579789238
"primary_controlled",197,0.0107189131920513
"primary_controlled",198,0.0104737089795945
"primary_controlled",199,0.0102341140210545
"primary_controlled",200,0.01
