"path_specification","n","p","dimension","correlation","scheme","method","target","evaluated_replications","reached_target_percent","mean_selected_size"
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","equal_width_4","glmnet","2s",100,100,10.14
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","original","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","original","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","original","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","original","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","original","glmnet","s",100,100,5.05
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","original","glmnet","2s",100,99,10.03
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_2","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_2","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_2","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_2","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_2","glmnet","s",100,100,5.05
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_2","glmnet","2s",100,100,10.05
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_4","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_4","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_4","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_4","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_4","glmnet","s",100,100,5.11
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_4","glmnet","2s",100,100,10.07
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_8","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_8","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_8","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_8","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_8","glmnet","s",100,100,5.14
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_8","glmnet","2s",100,100,10.12
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","equal_width_4","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","equal_width_4","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","equal_width_4","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","equal_width_4","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","equal_width_4","glmnet","s",100,100,5.11
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","equal_width_4","glmnet","2s",100,100,10.04
"primary_controlled",100,20,"n=100, p=20","block","original","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","block","original","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","block","original","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","block","original","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","block","original","glmnet","s",100,100,5.05
"primary_controlled",100,20,"n=100, p=20","block","original","glmnet","2s",100,100,10.1
"primary_controlled",100,20,"n=100, p=20","block","quantile_2","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","block","quantile_2","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","block","quantile_2","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","block","quantile_2","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","block","quantile_2","glmnet","s",100,100,5.08
"primary_controlled",100,20,"n=100, p=20","block","quantile_2","glmnet","2s",100,100,10.07
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","lar","s",100,100,5
