"n","p","dimension","correlation","scheme","metric","paired_difference_mean_primary","paired_difference_ci_lower_primary","paired_difference_ci_upper_primary","paired_difference_mean_sensitivity","paired_difference_ci_lower_sensitivity","paired_difference_ci_upper_sensitivity","absolute_difference","same_sign","primary_direction","sensitivity_direction","same_ci_direction"
100,20,"n=100, p=20","independent","quantile_2","A_entry",0.000883892610690311,0.00019995745265827,0.00156782776872235,-0.000439176341805572,-0.000896954982265838,1.86022986546942e-05,0.00132306895249588,FALSE,"positive","includes_zero",FALSE
100,20,"n=100, p=20","independent","quantile_2","A_set_s",0,-0.00309535854857034,0.00309535854857034,-0.00111111111111111,-0.00328888888888889,0.00106666666666667,0.00111111111111111,FALSE,"includes_zero","includes_zero",TRUE
100,20,"n=100, p=20","independent","quantile_2","A_set_2s",0.00303030303030303,-0.00123264091705435,0.00729324697766042,0.00181818181818182,-0.00212518252508285,0.00576154616144649,0.00121212121212121,TRUE,"includes_zero","includes_zero",TRUE
100,20,"n=100, p=20","independent","quantile_2","F1",-0.02,-0.0330939082145344,-0.00690609178546554,-0.0203030303030303,-0.0333651966538525,-0.00724086395220803,0.000303030303030305,TRUE,"negative","negative",TRUE
100,20,"n=100, p=20","independent","quantile_2","RMSE",0.293042656107239,0.260661638330646,0.325423673883831,0.292920695173558,0.260664591539912,0.325176798807203,0.000121960933680776,TRUE,"positive","positive",TRUE
100,20,"n=100, p=20","independent","quantile_4","A_entry",0.000247769886217235,-0.000531728727610402,0.00102726850004487,-0.000897974731751515,-0.00144963638839773,-0.0003463130751053,0.00114574461796875,FALSE,"includes_zero","negative",FALSE
100,20,"n=100, p=20","independent","quantile_4","A_set_s",-0.00222222222222222,-0.00657777777777777,0.00213333333333333,-0.00666666666666666,-0.0118646575876538,-0.00146867574567948,0.00444444444444444,TRUE,"includes_zero","negative",FALSE
100,20,"n=100, p=20","independent","quantile_4","A_set_2s",-0.00333333333333333,-0.0096258904220946,0.00295922375542794,-0.00111111111111111,-0.00578512708438091,0.00356290486215869,0.00222222222222222,TRUE,"includes_zero","includes_zero",TRUE
100,20,"n=100, p=20","independent","quantile_4","F1",-0.0978181818181817,-0.119028005723165,-0.076608357913198,-0.0982424242424242,-0.119545635939126,-0.0769392125457226,0.000424242424242424,TRUE,"negative","negative",TRUE
100,20,"n=100, p=20","independent","quantile_4","RMSE",0.452839398718561,0.420323476842995,0.485355320594128,0.452583687442718,0.420208545187622,0.484958829697813,0.000255711275843618,TRUE,"positive","positive",TRUE
100,20,"n=100, p=20","independent","quantile_8","A_entry",-0.00154789595479542,-0.00251796718502089,-0.000577824724569955,-0.0024110333857216,-0.00325082019389115,-0.00157124657755205,0.000863137430926177,TRUE,"negative","negative",TRUE
100,20,"n=100, p=20","independent","quantile_8","A_set_s",-0.013015873015873,-0.0210776422823677,-0.00495410374937836,-0.00888888888888888,-0.0148268161301645,-0.00295096164761322,0.00412698412698413,TRUE,"negative","negative",TRUE
100,20,"n=100, p=20","independent","quantile_8","A_set_2s",-0.00242424242424243,-0.00849301390557016,0.00364452905708531,1.10928518974596e-18,-0.00477545240704983,0.00477545240704984,0.00242424242424243,FALSE,"includes_zero","includes_zero",TRUE
