"path_specification","n","p","dimension","correlation","scheme","metric","replications","original_mean","original_sd","original_se","original_ci_lower","original_ci_upper","sparsified_mean","sparsified_sd","sparsified_se","sparsified_ci_lower","sparsified_ci_upper","paired_difference_mean","paired_difference_sd","paired_difference_se","paired_difference_ci_lower","paired_difference_ci_upper"
"sensitivity_dense_wide",100,20,"n=100, p=20","independent","quantile_2","A_entry",100,0.99887496639485,0.00131159662997056,0.000131159662997056,0.998617893455376,0.999132039334324,0.998435790053044,0.00194927918564968,0.000194927918564968,0.998053731332657,0.998817848773431,-0.000439176341805572,0.00233560530847074,0.000233560530847074,-0.000896954982265838,1.86022986546942e-05
"sensitivity_dense_wide",100,20,"n=100, p=20","independent","quantile_2","A_set_s",100,1,0,0,1,1,0.998888888888889,0.0111111111111111,0.00111111111111111,0.996711111111111,1.00106666666667,-0.00111111111111111,0.0111111111111111,0.00111111111111111,-0.00328888888888889,0.00106666666666667
"sensitivity_dense_wide",100,20,"n=100, p=20","independent","quantile_2","A_set_2s",100,0.995757575757576,0.0155413575743178,0.00155413575743178,0.992711469673009,0.998803681842142,0.997575757575758,0.0119361445798141,0.00119361445798141,0.995236273238114,0.999915241913401,0.00181818181818182,0.020119205832983,0.0020119205832983,-0.00212518252508285,0.00576154616144649
"sensitivity_dense_wide",100,20,"n=100, p=20","independent","quantile_2","F1",100,0.988,0.0477366513151884,0.00477366513151884,0.978643616342223,0.997356383657777,0.96769696969697,0.0736199424679674,0.00736199424679674,0.953267460973248,0.982126478420691,-0.0203030303030303,0.0666437058715421,0.00666437058715421,-0.0333651966538525,-0.00724086395220803
"sensitivity_dense_wide",100,20,"n=100, p=20","independent","quantile_2","RMSE",100,1.69069190507617,0.27157988072962,0.027157988072962,1.63746224845316,1.74392156169917,1.98361260024972,0.332633519361241,0.0332633519361241,1.91841643045492,2.04880877004453,0.292920695173558,0.164571957314517,0.0164571957314517,0.260664591539912,0.325176798807203
"sensitivity_dense_wide",100,20,"n=100, p=20","independent","quantile_4","A_entry",100,0.99887496639485,0.00131159662997056,0.000131159662997056,0.998617893455376,0.999132039334324,0.997976991663098,0.00244437439646493,0.000244437439646493,0.997497894281391,0.998456089044805,-0.000897974731751515,0.0028146002890113,0.00028146002890113,-0.00144963638839773,-0.0003463130751053
"sensitivity_dense_wide",100,20,"n=100, p=20","independent","quantile_4","A_set_s",100,1,0,0,1,1,0.993333333333333,0.0265203618417713,0.00265203618417713,0.988135342412346,0.99853132425432,-0.00666666666666666,0.0265203618417713,0.00265203618417713,-0.0118646575876538,-0.00146867574567948
"sensitivity_dense_wide",100,20,"n=100, p=20","independent","quantile_4","A_set_2s",100,0.995757575757576,0.0155413575743178,0.00155413575743178,0.992711469673009,0.998803681842142,0.994646464646465,0.0188538523270602,0.00188538523270602,0.990951109590361,0.998341819702569,-0.00111111111111111,0.0238470202717847,0.00238470202717847,-0.00578512708438091,0.00356290486215869
"sensitivity_dense_wide",100,20,"n=100, p=20","independent","quantile_4","F1",100,0.988,0.0477366513151884,0.00477366513151884,0.978643616342223,0.997356383657777,0.889757575757576,0.108215701545807,0.0108215701545807,0.868547298254598,0.910967853260554,-0.0982424242424242,0.108689855595416,0.0108689855595416,-0.119545635939126,-0.0769392125457226
"sensitivity_dense_wide",100,20,"n=100, p=20","independent","quantile_4","RMSE",100,1.69069190507617,0.27157988072962,0.027157988072962,1.63746224845316,1.74392156169917,2.14327559251888,0.335593087525842,0.0335593087525842,2.07749934736382,2.20905183767395,0.452583687442718,0.165179297219876,0.0165179297219876,0.420208545187622,0.484958829697813
