"metric","configurations","pearson_correlation","spearman_correlation","mean_absolute_difference","median_absolute_difference","max_absolute_difference","sign_agreement_percent","ci_direction_agreement_percent"
"A_entry",64,0.72999742003084,0.485714285714286,0.0131951845741949,0.00939698833282195,0.0675763702266839,45.3125,50
"A_set_s",64,0.975382644820752,0.850613669074432,0.00287202480490524,0.00261904761904762,0.0111111111111111,87.5,81.25
"A_set_2s",64,0.998218675510435,0.981776556776557,0.0014547796253606,0.00107440868310434,0.00672815107597717,87.5,95.3125
"F1",64,0.999977224490468,0.999725274725275,0.000492305946038811,0.00041053391053391,0.00139393939393939,100,100
"RMSE",64,0.999997236295093,0.999908424908425,0.000440466676599041,0.000365273000080851,0.00132382064354153,100,100
