"scenario_id","replication","seed","n","p","dimension","correlation","active_s","snr","noise_sd","path_specification","method","group_weight_specification","representation","scheme","p_representation","raw_density","df_definition","target_parent_count_s","target_parent_count_2s","target_reached_s","target_exact_s","target_reached_2s","target_exact_2s","selected_step_s","selected_step_2s","group_size_min","group_size_max","f1_s","rmse_s","selected_parent_count_s","selected_component_count_s","df_diagnostic_s","f1_2s","rmse_2s","selected_parent_count_2s","selected_component_count_2s","df_diagnostic_2s","returned_path_points","fit_requested_lambda_points","fit_returned_lambda_points","fit_requested_lambda_min_ratio","fit_returned_lambda_min_ratio","fit_returned_lambda_max","fit_returned_lambda_min","fit_complete_requested_grid","fit_accepted_path","fit_requested_iteration_budget","fit_accepted_iteration_budget","fit_attempt_count","fit_attempt_log","fit_warnings","fit_jerr","fit_glmnet_npasses","fit_grpreg_total_iterations","fit_grpreg_eps","fit_glmnet_thresh","fit_control_interface","fit_first_lambda_active_components","fit_last_lambda_active_components"
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","component_lasso_glmnet","not_applicable","original","original",200,1,"active_coefficient_count_proxy_excluding_intercept",20,40,TRUE,TRUE,TRUE,FALSE,69,118,1,1,0.45,4.4504678683799,20,20,20,0.349206349206349,4.01825758396426,43,43,43,200,200,200,0.01,0.01,2.93596530838804,0.0293596530838804,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; jerr=0; warnings=; accepted=TRUE","",0,4442,NA,NA,1e-08,"legacy_arguments",0,75
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","parent_group_lasso_grpreg","equal_parent","original","original",200,1,"grpreg_approximate_df_excluding_intercept",20,40,TRUE,TRUE,TRUE,FALSE,69,118,1,1,0.45,4.45011018415841,20,20,6.17121026463386,0.349206349206349,4.0183039909084,43,43,21.164541552777,200,200,200,0.01,0.01,2.95075615921916,0.0295075615921916,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=24173; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,24173,1e-06,NA,"grpreg",0,74
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","parent_group_lasso_grpreg","sqrt_group_size","original","original",200,1,"grpreg_approximate_df_excluding_intercept",20,40,TRUE,TRUE,TRUE,FALSE,69,118,1,1,0.45,4.45011018415841,20,20,6.17121026463386,0.349206349206349,4.0183039909084,43,43,21.164541552777,200,200,200,0.01,0.01,2.95075615921916,0.0295075615921916,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=24173; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,24173,1e-06,NA,"grpreg",0,74
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","component_lasso_glmnet","not_applicable","sparsified","quantile_2",400,0.5,"active_coefficient_count_proxy_excluding_intercept",20,40,TRUE,FALSE,TRUE,TRUE,48,86,2,2,0.292682926829268,4.94706863384396,21,23,23,0.366666666666667,4.36660272811315,40,47,47,200,200,200,0.01,0.01,2.75559759054704,0.0275559759054704,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; jerr=0; warnings=; accepted=TRUE","",0,4712,NA,NA,1e-08,"legacy_arguments",0,96
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","parent_group_lasso_grpreg","equal_parent","sparsified","quantile_2",400,0.5,"grpreg_approximate_df_excluding_intercept",20,40,TRUE,TRUE,TRUE,TRUE,61,112,2,2,0.35,4.78042833822968,20,40,10.6830902229752,0.366666666666667,4.35237981397259,40,80,42.2313716144138,200,200,200,0.01,0.01,2.95076388442772,0.0295076388442772,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=27214; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,27214,1e-06,NA,"grpreg",0,138
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","parent_group_lasso_grpreg","sqrt_group_size","sparsified","quantile_2",400,0.5,"grpreg_approximate_df_excluding_intercept",20,40,TRUE,TRUE,TRUE,TRUE,61,112,2,2,0.35,4.78042833822968,20,40,10.6830902229752,0.366666666666667,4.35237981397259,40,80,42.2313716144142,200,200,200,0.01,0.01,2.0865051523592,0.020865051523592,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=27173; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,27173,1e-06,NA,"grpreg",0,138
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","component_lasso_glmnet","not_applicable","sparsified","quantile_4",800,0.25,"active_coefficient_count_proxy_excluding_intercept",20,40,TRUE,TRUE,TRUE,TRUE,39,67,4,4,0.3,5.25627887390614,20,22,22,0.3,4.852897269348,40,45,45,200,200,200,0.01,0.01,2.62287373500723,0.0262287373500723,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; jerr=0; warnings=; accepted=TRUE","",0,3241,NA,NA,1e-08,"legacy_arguments",0,99
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","parent_group_lasso_grpreg","equal_parent","sparsified","quantile_4",800,0.25,"grpreg_approximate_df_excluding_intercept",20,40,TRUE,FALSE,TRUE,FALSE,44,73,4,4,0.325581395348837,5.00318863236817,23,92,13.3248705242734,0.262295081967213,4.88440123486067,41,164,40.9533853605648,200,200,200,0.01,0.01,3.01596591376235,0.0301596591376235,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=14179; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,14179,1e-06,NA,"grpreg",0,240
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","parent_group_lasso_grpreg","sqrt_group_size","sparsified","quantile_4",800,0.25,"grpreg_approximate_df_excluding_intercept",20,40,TRUE,FALSE,TRUE,TRUE,43,69,4,4,0.24390243902439,5.01698912385215,21,84,12.7039063799628,0.266666666666667,4.89069367781431,40,160,36.4435046486155,200,200,200,0.01,0.01,1.50798295688118,0.0150798295688118,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=13923; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,13923,1e-06,NA,"grpreg",0,240
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","component_lasso_glmnet","not_applicable","sparsified","quantile_8",1600,0.125,"active_coefficient_count_proxy_excluding_intercept",20,40,TRUE,TRUE,TRUE,TRUE,25,56,8,8,0.25,5.47931405895277,20,23,23,0.233333333333333,5.36308186994393,40,47,47,200,200,200,0.01,0.01,2.06203539944163,0.0206203539944163,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; jerr=0; warnings=; accepted=TRUE","",0,2265,NA,NA,1e-08,"legacy_arguments",0,102
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","parent_group_lasso_grpreg","equal_parent","sparsified","quantile_8",1600,0.125,"grpreg_approximate_df_excluding_intercept",20,40,TRUE,FALSE,TRUE,TRUE,42,82,8,8,0.146341463414634,5.16468868880612,21,168,21.7846928094987,0.166666666666667,5.04842490011852,40,320,84.2964211672997,200,200,200,0.01,0.01,3.33056949581587,0.0333056949581587,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=10618; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,10618,1e-06,NA,"grpreg",0,432
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","parent_group_lasso_grpreg","sqrt_group_size","sparsified","quantile_8",1600,0.125,"grpreg_approximate_df_excluding_intercept",20,40,TRUE,FALSE,TRUE,TRUE,42,82,8,8,0.146341463414634,5.16468951871208,21,168,21.7847225839248,0.166666666666667,5.04842490011852,40,320,84.2964211672997,200,200,200,0.01,0.01,1.17753413785223,0.0117753413785223,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=10623; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,10623,1e-06,NA,"grpreg",0,432
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","component_lasso_glmnet","not_applicable","sparsified","equal_width_4",800,0.25,"active_coefficient_count_proxy_excluding_intercept",20,40,TRUE,TRUE,TRUE,TRUE,30,62,4,4,0.1,5.26757720043221,20,22,22,0.233333333333333,5.04287259975498,40,46,46,200,200,200,0.01,0.01,2.21538447844117,0.0221538447844117,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; jerr=0; warnings=; accepted=TRUE","",0,2356,NA,NA,1e-08,"legacy_arguments",0,106
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","parent_group_lasso_grpreg","equal_parent","sparsified","equal_width_4",800,0.25,"grpreg_approximate_df_excluding_intercept",20,40,TRUE,TRUE,TRUE,FALSE,47,71,4,4,0.3,4.92219959944174,20,80,15.0322942775117,0.19672131147541,4.82841334403241,41,164,38.0707188362364,200,200,200,0.01,0.01,3.00018469169429,0.0300018469169429,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=18886; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,18886,1e-06,NA,"grpreg",0,256
11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,3,3.08479218639384,"primary_controlled","parent_group_lasso_grpreg","sqrt_group_size","sparsified","equal_width_4",800,0.25,"grpreg_approximate_df_excluding_intercept",20,40,TRUE,TRUE,TRUE,FALSE,44,71,4,4,0.35,4.94704810445715,20,80,13.3336582717794,0.19672131147541,4.82841104959946,41,164,38.0705844382804,200,200,200,0.01,0.01,1.50009234584715,0.0150009234584715,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=18486; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,18486,1e-06,NA,"grpreg",0,256
