"path_specification","n","p","dimension","correlation","active_s","group_weight_specification","lambda_scale_relative_error_mean","lambda_scale_relative_error_n","lambda_scale_relative_error_ci_low","lambda_scale_relative_error_ci_high","max_training_prediction_rms_over_sd_y_mean","max_training_prediction_rms_over_sd_y_n","max_training_prediction_rms_over_sd_y_ci_low","max_training_prediction_rms_over_sd_y_ci_high","f1_difference_group_minus_glmnet_s_mean","f1_difference_group_minus_glmnet_s_n","f1_difference_group_minus_glmnet_s_ci_low","f1_difference_group_minus_glmnet_s_ci_high","rmse_difference_group_minus_glmnet_s_mean","rmse_difference_group_minus_glmnet_s_n","rmse_difference_group_minus_glmnet_s_ci_low","rmse_difference_group_minus_glmnet_s_ci_high","entry_order_tau_glmnet_vs_group_mean","entry_order_tau_glmnet_vs_group_n","entry_order_tau_glmnet_vs_group_ci_low","entry_order_tau_glmnet_vs_group_ci_high","active_set_jaccard_s_glmnet_vs_group_mean","active_set_jaccard_s_glmnet_vs_group_n","active_set_jaccard_s_glmnet_vs_group_ci_low","active_set_jaccard_s_glmnet_vs_group_ci_high"
"primary_controlled",100,20,"n=100, p=20","independent",5,"equal_parent",8.88178419700125e-16,2,1.77635683940025e-17,1.75859327100625e-15,4.82572838226477e-05,2,4.57744059622879e-06,9.19371270490666e-05,0,2,0,0,-6.87050318526339e-07,2,-1.77346041759563e-06,3.99359780542952e-07,1,2,1,1,1,2,1,1
"primary_controlled",100,20,"n=100, p=20","independent",5,"sqrt_group_size",8.88178419700125e-16,2,1.77635683940025e-17,1.75859327100625e-15,4.82572838226477e-05,2,4.57744059622879e-06,9.19371270490666e-05,0,2,0,0,-6.87050318526339e-07,2,-1.77346041759563e-06,3.99359780542952e-07,1,2,1,1,1,2,1,1
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.9",20,"equal_parent",1.22124532708767e-15,2,1.33226762955019e-16,2.30926389122033e-15,0.0019178391369234,2,0.00180720089160362,0.00202847738224319,0,2,0,0,-0.000279610323139945,2,-0.000432635163910113,-0.000126585482369777,0.995332009556888,2,0.993716852674707,0.99694716643907,1,2,1,1
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.9",20,"sqrt_group_size",1.22124532708767e-15,2,1.33226762955019e-16,2.30926389122033e-15,0.0019178391369234,2,0.00180720089160362,0.00202847738224319,0,2,0,0,-0.000279610323139945,2,-0.000432635163910113,-0.000126585482369777,0.995332009556888,2,0.993716852674707,0.99694716643907,1,2,1,1
"sensitivity_dense_wide",100,20,"n=100, p=20","independent",5,"equal_parent",8.88178419700125e-16,2,1.77635683940025e-17,1.75859327100625e-15,5.32158946224936e-06,2,1.05318390618255e-06,9.58999501831616e-06,0,2,0,0,-6.42977476816853e-08,2,-9.75711160045023e-08,-3.10243793588683e-08,1,2,1,1,1,2,1,1
"sensitivity_dense_wide",100,20,"n=100, p=20","independent",5,"sqrt_group_size",8.88178419700125e-16,2,1.77635683940025e-17,1.75859327100625e-15,5.32158946224936e-06,2,1.05318390618255e-06,9.58999501831616e-06,0,2,0,0,-6.42977476816853e-08,2,-9.75711160045023e-08,-3.10243793588683e-08,1,2,1,1,1,2,1,1
"sensitivity_dense_wide",100,200,"n=100, p=200","ar1_rho_0.9",20,"equal_parent",7.7715611723761e-16,2,5.59552404411079e-16,9.9475983006414e-16,0.000798416275823208,2,0.000744771122420521,0.000852061429225895,0,2,0,0,-2.53037215780516e-06,2,-2.998110556792e-05,2.49203612523097e-05,0.995351968971126,2,0.986352002409733,1.00435193553252,1,2,1,1
"sensitivity_dense_wide",100,200,"n=100, p=200","ar1_rho_0.9",20,"sqrt_group_size",7.7715611723761e-16,2,5.59552404411079e-16,9.9475983006414e-16,0.000798416275823208,2,0.000744771122420521,0.000852061429225895,0,2,0,0,-2.53037215780516e-06,2,-2.998110556792e-05,2.49203612523097e-05,0.995351968971126,2,0.986352002409733,1.00435193553252,1,2,1,1
