"path_specification","n","p","dimension","correlation","active_s","scheme","method","group_weight_specification","df_definition","delta_f1_s_mean","delta_f1_s_sd","delta_f1_s_n","delta_f1_s_ci_low","delta_f1_s_ci_high","delta_rmse_s_mean","delta_rmse_s_sd","delta_rmse_s_n","delta_rmse_s_ci_low","delta_rmse_s_ci_high","delta_f1_2s_mean","delta_f1_2s_sd","delta_f1_2s_n","delta_f1_2s_ci_low","delta_f1_2s_ci_high","delta_rmse_2s_mean","delta_rmse_2s_sd","delta_rmse_2s_n","delta_rmse_2s_ci_low","delta_rmse_2s_ci_high","entry_order_tau_original_vs_sparse_mean","entry_order_tau_original_vs_sparse_sd","entry_order_tau_original_vs_sparse_n","entry_order_tau_original_vs_sparse_ci_low","entry_order_tau_original_vs_sparse_ci_high","active_set_jaccard_s_original_vs_sparse_mean","active_set_jaccard_s_original_vs_sparse_sd","active_set_jaccard_s_original_vs_sparse_n","active_set_jaccard_s_original_vs_sparse_ci_low","active_set_jaccard_s_original_vs_sparse_ci_high","active_set_jaccard_2s_original_vs_sparse_mean","active_set_jaccard_2s_original_vs_sparse_sd","active_set_jaccard_2s_original_vs_sparse_n","active_set_jaccard_2s_original_vs_sparse_ci_low","active_set_jaccard_2s_original_vs_sparse_ci_high","original_parent_count_s_mean","original_parent_count_s_sd","original_parent_count_s_n","original_parent_count_s_ci_low","original_parent_count_s_ci_high","sparse_parent_count_s_mean","sparse_parent_count_s_sd","sparse_parent_count_s_n","sparse_parent_count_s_ci_low","sparse_parent_count_s_ci_high","original_component_count_s_mean","original_component_count_s_sd","original_component_count_s_n","original_component_count_s_ci_low","original_component_count_s_ci_high","sparse_component_count_s_mean","sparse_component_count_s_sd","sparse_component_count_s_n","sparse_component_count_s_ci_low","sparse_component_count_s_ci_high","sparse_df_diagnostic_s_mean","sparse_df_diagnostic_s_sd","sparse_df_diagnostic_s_n","sparse_df_diagnostic_s_ci_low","sparse_df_diagnostic_s_ci_high","original_target_reached_s_mean","original_target_reached_s_sd","original_target_reached_s_n","original_target_reached_s_ci_low","original_target_reached_s_ci_high","sparse_target_reached_s_mean","sparse_target_reached_s_sd","sparse_target_reached_s_n","sparse_target_reached_s_ci_low","sparse_target_reached_s_ci_high","original_target_exact_s_mean","original_target_exact_s_sd","original_target_exact_s_n","original_target_exact_s_ci_low","original_target_exact_s_ci_high","sparse_target_exact_s_mean","sparse_target_exact_s_sd","sparse_target_exact_s_n","sparse_target_exact_s_ci_low","sparse_target_exact_s_ci_high"
"primary_controlled",100,20,"n=100, p=20","independent",5,"quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.3,0.14142135623731,2,-0.496,-0.104,0.127481655029424,0.0179032752714269,2,0.102668981423668,0.15229432863518,-0.0666666666666667,0.0942809041582063,2,-0.197333333333333,0.064,0.48997991072913,0.0488113470497,2,0.422330835113652,0.557628986344608,0.305040860912964,0.0112537284151586,2,0.289443989068023,0.320637732757906,0.547619047619048,0.168358757425368,2,0.314285714285714,0.780952380952381,0.435897435897436,0.145047544858779,2,0.234871794871795,0.636923076923077,5,0,2,5,5,5,0,2,5,5,5,0,2,5,5,40,0,2,40,40,14.1165853416071,1.32748044075672,2,12.276791315366,15.9563793678482,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,20,"n=100, p=20","independent",5,"quantile_8","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",-0.2,0,2,-0.2,-0.2,0.183565962979132,0.0134998441295449,2,0.164856133574365,0.202275792383898,0,0,2,0,0,0.483865633587441,0.0727362565971415,2,0.383058325042633,0.58467294213225,0.330234713505095,0.0180657241376498,2,0.305196897257331,0.355272529752859,0.666666666666667,0,2,0.666666666666667,0.666666666666667,0.483516483516483,0.0777040418886316,2,0.375824175824176,0.591208791208791,5,0,2,5,5,5,0,2,5,5,5,0,2,5,5,40,0,2,40,40,11.6018472228559,2.11202957868102,2,8.6747235660381,14.5289708796736,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.9",20,"equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.3,0.0707106781186547,2,-0.398,-0.202,0.739459628689127,0.10981326361046,2,0.58726621009729,0.891653047280964,-0.136730796672626,0.0294973564878143,2,-0.177612047039863,-0.0958495463053899,0.97968717859662,0.0635375566879966,2,0.89162861769617,1.06774573949707,0.253488246743452,0.0282788871577015,2,0.214295708711157,0.292680784775747,0.213235294117647,0.0519931456754814,2,0.141176470588235,0.285294117647059,0.258731617647059,0.053942888638312,2,0.183970588235294,0.333492647058824,20,0,2,20,20,20,0,2,20,20,20,0,2,20,20,21.5,0.707106781186548,2,20.52,22.48,21.5,0.707106781186548,2,20.52,22.48,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.9",20,"equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.175,0.0353553390593274,2,-0.224,-0.126,0.450470196202909,0.0305741928314497,2,0.40809652680528,0.492843865600539,-0.171430250224539,0.0267925764504887,2,-0.208562866711994,-0.134297633737084,0.824279884896372,0.0200401582185071,2,0.796505642622551,0.852054127170193,0.255421322083626,0.072524767327205,2,0.154907122712782,0.355935521454471,0.339285714285714,0.126269068069026,2,0.164285714285714,0.514285714285714,0.230660888407367,0.0871817461527943,2,0.10983315276273,0.351488624052004,20,0,2,20,20,20,0,2,20,20,20,0,2,20,20,80,0,2,80,80,16.5591901032584,2.15935678510186,2,13.5664742847948,19.5519059217219,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.9",20,"equal_width_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",-0.15,0.0707106781186548,2,-0.248,-0.052,0.467819169558952,0.041180132215574,2,0.410746418108962,0.524891921008942,-0.169790905962244,0.0244741935613524,2,-0.203710407695601,-0.135871404228887,0.830056424395778,0.0282126635403536,2,0.79095566761453,0.869157181177026,0.258823355240817,0.0776679575639172,2,0.151181057871081,0.366465652610552,0.339285714285714,0.126269068069026,2,0.164285714285714,0.514285714285714,0.231868131868132,0.0854744460774948,2,0.113406593406593,0.35032967032967,20,0,2,20,20,20,0,2,20,20,20,0,2,20,20,80,0,2,80,80,14.6620758948559,1.87866621905025,2,12.0583773536259,17.2657744360859,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.103658536585366,0.0758846301761172,2,-0.208829268292683,0.00151219512195107,0.376408880014171,0.169976994490429,2,0.140832784532385,0.611984975495957,-0.00148489503328209,0.0267925764504887,2,-0.0386175115207372,0.035647721454173,0.348220692147814,0.000176001707785087,2,0.347976766225707,0.348464618069922,0.440178198117105,0.00872515756665674,2,0.428085746675789,0.452270649558421,0.446428571428571,0.0252538136138053,2,0.411428571428571,0.481428571428571,0.460213032581454,0.00575964170139421,2,0.452230576441103,0.468195488721805,20,0,2,20,20,20.5,0.707106781186548,2,19.52,21.48,20,0,2,20,20,21.5,2.12132034355964,2,18.56,24.44,21.5,2.12132034355964,2,18.56,24.44,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,0.5,0.707106781186548,2,-0.48,1.48
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.0750000000000001,0.0353553390593273,2,-0.124,-0.0260000000000001,0.299904754717522,0.0430110418439343,2,0.240294491984183,0.359515017450861,0.0119030831087944,0.00785911618920956,2,0.00101090377980921,0.0227952624377796,0.392419601012348,0.0825105620543617,2,0.278065796233968,0.506773405790727,0.372291785348824,0.0410495741594094,2,0.315399978133064,0.429183592564583,0.403940886699507,0.0348328463638693,2,0.355665024630542,0.452216748768473,0.361021505376344,0.0315536896981094,2,0.317290322580645,0.404752688172043,20,0,2,20,20,20,0,2,20,20,20,0,2,20,20,40,0,2,40,40,10.1207423128201,0.79528004131354,2,9.01854040891608,11.2229442167242,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",-0.0750000000000001,0.0353553390593273,2,-0.124,-0.0260000000000001,0.299904754717521,0.043011041843935,2,0.240294491984182,0.359515017450861,0.0119030831087944,0.00785911618920956,2,0.00101090377980921,0.0227952624377796,0.392419601012346,0.0825105620543583,2,0.278065796233972,0.50677340579072,0.372291785348824,0.0410495741594094,2,0.315399978133064,0.429183592564583,0.403940886699507,0.0348328463638693,2,0.355665024630542,0.452216748768473,0.361021505376344,0.0315536896981094,2,0.317290322580645,0.404752688172043,20,0,2,20,20,20,0,2,20,20,20,0,2,20,20,40,0,2,40,40,10.1207423128201,0.795280041313531,2,9.01854040891608,11.2229442167241,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.175,0.0353553390593274,2,-0.224,-0.126,0.671278987391349,0.190257004619781,2,0.40759623184697,0.934961742935727,-0.101484895033282,0.0739330285295918,2,-0.203950844854071,0.000981054787506278,0.865080676868451,0.0430500630097597,2,0.805416333558421,0.924745020178481,0.248944433258526,0.0173145449267541,2,0.224947698282026,0.272941168235025,0.212121212121212,0,2,0.212121212121212,0.212121212121212,0.242640398550725,0.0766993089194647,2,0.136340579710145,0.348940217391304,20,0,2,20,20,20,0,2,20,20,20,0,2,20,20,22.5,0.707106781186548,2,21.52,23.48,22.5,0.707106781186548,2,21.52,23.48,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.187209302325581,0.0887994562420316,2,-0.310279069767442,-0.0641395348837209,0.497091715754861,0.0791771963506734,2,0.387357720143257,0.606825711366465,-0.0894630371097848,0.00360874755912647,2,-0.0944645060562564,-0.0844615681633133,0.847193384413134,0.0267340945414412,2,0.810141819716428,0.884244949109839,0.249598447495578,0.0472851314878835,2,0.184064598731793,0.315132296259362,0.29960899315738,0.123726406483277,2,0.128132942326491,0.47108504398827,0.25565355042967,0.00271841141568776,2,0.251886024423338,0.259421076436002,20,0,2,20,20,21.5,2.12132034355964,2,18.56,24.44,20,0,2,20,20,86,8.48528137423857,2,74.24,97.76,16.3309728420418,4.25127066766926,2,10.4390122992157,22.2229333848678,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,0.5,0.707106781186548,2,-0.48,1.48
