"path_specification","scenario_id","representation","scheme","method","group_weight_specification","df_definition","replications","target_reached_s_mean","target_exact_s_mean","target_reached_2s_mean","target_exact_2s_mean","selected_parent_count_s_mean","selected_component_count_s_mean","selected_parent_count_2s_mean","selected_component_count_2s_mean"
"primary_controlled",2,"sparsified","quantile_8","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.93,1,0.9,5.07,40.56,10.1,80.8
"primary_controlled",3,"original","original","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.96,0.99,0.95,5.05,5.05,10.03,10.03
"primary_controlled",3,"original","original","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.96,0.99,0.97,5.05,5.05,10.01,10.01
"primary_controlled",3,"original","original","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.96,0.99,0.97,5.05,5.05,10.01,10.01
"primary_controlled",3,"sparsified","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.9,1,0.96,5.11,6.48,10.04,15.34
"primary_controlled",3,"sparsified","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.89,1,0.86,5.11,20.44,10.17,40.67
"primary_controlled",3,"sparsified","equal_width_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.93,1,0.91,5.08,20.32,10.11,40.44
"primary_controlled",3,"sparsified","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.95,1,0.95,5.05,6.6,10.05,13.93
"primary_controlled",3,"sparsified","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.95,1,0.86,5.07,10.14,10.16,20.32
"primary_controlled",3,"sparsified","quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.94,1,0.91,5.07,10.14,10.09,20.18
"primary_controlled",3,"sparsified","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.89,1,0.93,5.11,6.46,10.07,14.48
"primary_controlled",3,"sparsified","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.93,1,0.93,5.07,20.28,10.07,40.28
"primary_controlled",3,"sparsified","quantile_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.91,1,0.95,5.09,20.36,10.05,40.2
"primary_controlled",3,"sparsified","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.86,1,0.89,5.14,6.71,10.12,16.07
"primary_controlled",3,"sparsified","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.87,1,0.87,5.13,41.04,10.15,81.2
"primary_controlled",3,"sparsified","quantile_8","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.85,1,0.81,5.16,41.28,10.21,81.68
"primary_controlled",4,"original","original","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.96,1,0.9,5.05,5.05,10.1,10.1
"primary_controlled",4,"original","original","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.96,1,0.89,5.05,5.05,10.11,10.11
"primary_controlled",4,"original","original","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.96,1,0.89,5.05,5.05,10.11,10.11
"primary_controlled",4,"sparsified","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.93,1,0.91,5.07,6.07,10.1,14.61
"primary_controlled",4,"sparsified","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.92,1,0.95,5.08,20.32,10.06,40.24
"primary_controlled",4,"sparsified","equal_width_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.93,1,0.93,5.08,20.32,10.07,40.28
"primary_controlled",4,"sparsified","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.92,1,0.93,5.08,6.51,10.07,13.87
"primary_controlled",4,"sparsified","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.9,1,0.91,5.11,10.22,10.09,20.18
"primary_controlled",4,"sparsified","quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.93,1,0.96,5.07,10.14,10.04,20.08
"primary_controlled",4,"sparsified","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.89,1,0.93,5.12,6.4,10.08,14.27
"primary_controlled",4,"sparsified","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.92,1,0.92,5.09,20.36,10.08,40.32
"primary_controlled",4,"sparsified","quantile_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.97,1,0.94,5.03,20.12,10.06,40.24
"primary_controlled",4,"sparsified","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.91,1,0.95,5.09,6.24,10.07,15.21
"primary_controlled",4,"sparsified","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.95,1,0.88,5.05,40.39,10.14,81.12
"primary_controlled",4,"sparsified","quantile_8","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.94,1,0.92,5.06,40.47,10.1,80.8
"primary_controlled",5,"original","original","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.93,1,0.85,10.07,10.07,20.17,20.17
"primary_controlled",5,"original","original","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.93,1,0.85,10.07,10.07,20.17,20.17
"primary_controlled",5,"original","original","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.93,1,0.85,10.07,10.07,20.17,20.17
"primary_controlled",5,"sparsified","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.72,1,0.67,10.31,12.64,20.47,25.91
"primary_controlled",5,"sparsified","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.75,1,0.77,10.27,41.08,20.27,81.08
"primary_controlled",5,"sparsified","equal_width_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.76,1,0.74,10.26,41.04,20.31,81.24
"primary_controlled",5,"sparsified","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.84,1,0.81,10.2,13.03,20.25,26.37
"primary_controlled",5,"sparsified","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.81,1,0.83,10.21,20.42,20.19,40.38
"primary_controlled",5,"sparsified","quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.81,1,0.83,10.21,20.42,20.19,40.38
"primary_controlled",5,"sparsified","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.79,1,0.68,10.26,12.34,20.37,25.47
"primary_controlled",5,"sparsified","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.84,1,0.79,10.19,40.76,20.23,80.92
"primary_controlled",5,"sparsified","quantile_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.85,1,0.8,10.17,40.68,20.23,80.92
"primary_controlled",5,"sparsified","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.71,1,0.63,10.37,11.67,20.47,24.55
"primary_controlled",5,"sparsified","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.69,1,0.77,10.42,83.36,20.27,162.15
"primary_controlled",5,"sparsified","quantile_8","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.76,1,0.79,10.25,82,20.23,161.84
"primary_controlled",6,"original","original","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.88,1,0.84,10.14,10.14,20.18,20.18
"primary_controlled",6,"original","original","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.88,1,0.84,10.14,10.14,20.18,20.18
"primary_controlled",6,"original","original","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.88,1,0.84,10.14,10.14,20.18,20.18
"primary_controlled",6,"sparsified","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.8,1,0.74,10.23,12.23,20.3,25.69
"primary_controlled",6,"sparsified","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.7,1,0.78,10.39,41.56,20.3,81.2
"primary_controlled",6,"sparsified","equal_width_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.84,1,0.8,10.21,40.84,20.22,80.88
"primary_controlled",6,"sparsified","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.83,1,0.81,10.21,12.83,20.24,25.8
"primary_controlled",6,"sparsified","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.89,1,0.83,10.11,20.22,20.18,40.36
"primary_controlled",6,"sparsified","quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.89,1,0.83,10.11,20.22,20.18,40.36
"primary_controlled",6,"sparsified","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.78,1,0.81,10.25,12.29,20.22,24.98
"primary_controlled",6,"sparsified","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.83,1,0.83,10.2,40.8,20.22,80.88
"primary_controlled",6,"sparsified","quantile_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.8,1,0.81,10.23,40.92,20.22,80.88
"primary_controlled",6,"sparsified","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.76,1,0.69,10.28,11.52,20.39,24.42
"primary_controlled",6,"sparsified","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.69,1,0.79,10.37,82.96,20.23,161.84
"primary_controlled",6,"sparsified","quantile_8","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.71,1,0.78,10.35,82.8,20.25,162
"primary_controlled",7,"original","original","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.92,1,0.92,10.08,10.08,20.09,20.09
"primary_controlled",7,"original","original","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.92,1,0.9,10.08,10.08,20.11,20.11
"primary_controlled",7,"original","original","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.92,1,0.9,10.08,10.08,20.11,20.11
"primary_controlled",7,"sparsified","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.82,1,0.79,10.22,11.4,20.23,23.33
"primary_controlled",7,"sparsified","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.81,1,0.81,10.2,40.8,20.23,80.92
"primary_controlled",7,"sparsified","equal_width_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.85,1,0.84,10.17,40.68,20.19,80.76
"primary_controlled",7,"sparsified","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.84,1,0.91,10.17,11.38,20.11,23.04
"primary_controlled",7,"sparsified","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.82,1,0.79,10.18,20.36,20.21,40.42
"primary_controlled",7,"sparsified","quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.86,1,0.8,10.14,20.28,20.21,40.42
"primary_controlled",7,"sparsified","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.82,1,0.86,10.19,11.18,20.19,23.07
"primary_controlled",7,"sparsified","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.86,1,0.71,10.15,40.6,20.35,81.4
"primary_controlled",7,"sparsified","quantile_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.81,1,0.79,10.2,40.8,20.24,80.96
"primary_controlled",7,"sparsified","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.79,1,0.77,10.27,11.34,20.32,23.43
"primary_controlled",7,"sparsified","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.74,1,0.84,10.34,82.72,20.18,161.44
"primary_controlled",7,"sparsified","quantile_8","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.81,1,0.81,10.21,81.68,20.22,161.76
"primary_controlled",8,"original","original","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.88,1,0.93,10.13,10.13,20.07,20.07
"primary_controlled",8,"original","original","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.88,1,0.92,10.13,10.13,20.08,20.08
"primary_controlled",8,"original","original","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.88,1,0.92,10.13,10.13,20.08,20.08
"primary_controlled",8,"sparsified","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.87,1,0.79,10.15,11.16,20.27,23.86
"primary_controlled",8,"sparsified","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.78,1,0.75,10.29,41.16,20.32,81.28
"primary_controlled",8,"sparsified","equal_width_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.79,1,0.77,10.24,40.96,20.25,81
"primary_controlled",8,"sparsified","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.75,1,0.86,10.25,11.76,20.17,23.7
