"path_specification","scenario_id","replication","seed","n","p","correlation","representation","scheme","abs_f1_difference","abs_rmse_difference","abs_parent_count_difference_s","abs_parent_count_difference_2s","relative_noise_sd_difference","component_dimension_difference","raw_density_difference","lambda_max_relative_difference","requested_points_difference","requested_ratio_difference","archived_returned_points","current_returned_points","archived_jerr"
"sensitivity_dense_wide",11,1,21360712,100,200,"ar1_rho_0.9","original","original",0,3.5527136788005e-15,0,0,4.31882457245078e-16,0,0,8.88178419700125e-16,0,0,400,400,0
"sensitivity_dense_wide",11,1,21360712,100,200,"ar1_rho_0.9","sparsified","quantile_2",0,2.66453525910038e-15,0,0,4.31882457245078e-16,0,0,6.66133814775094e-16,0,0,400,400,0
"sensitivity_dense_wide",11,1,21360712,100,200,"ar1_rho_0.9","sparsified","quantile_4",0,3.5527136788005e-15,0,0,4.31882457245078e-16,0,0,4.44089209850063e-16,0,0,400,400,0
"sensitivity_dense_wide",11,1,21360712,100,200,"ar1_rho_0.9","sparsified","quantile_8",0,5.32907051820075e-15,0,0,4.31882457245078e-16,0,0,8.88178419700125e-16,0,0,400,400,0
"sensitivity_dense_wide",11,1,21360712,100,200,"ar1_rho_0.9","sparsified","equal_width_4",1.38777878078145e-17,1.77635683940025e-15,0,0,4.31882457245078e-16,0,0,6.66133814775094e-16,0,0,400,400,0
