"path_specification","scenario_id","replication","seed","n","p","correlation","representation","scheme","abs_f1_difference","abs_rmse_difference","abs_parent_count_difference_s","abs_parent_count_difference_2s","relative_noise_sd_difference","component_dimension_difference","raw_density_difference","lambda_max_relative_difference","requested_points_difference","requested_ratio_difference","archived_returned_points","current_returned_points","archived_jerr"
"primary_controlled",1,6,20360717,100,20,"independent","sparsified","equal_width_4",0,2.66453525910038e-15,0,0,3.23035026154649e-15,0,0,8.88178419700125e-16,0,0,200,200,0
"primary_controlled",1,7,20360718,100,20,"independent","original","original",1.11022302462516e-16,4.44089209850063e-15,0,0,3.15493711330159e-15,0,0,4.44089209850063e-16,0,0,200,200,0
"primary_controlled",1,7,20360718,100,20,"independent","sparsified","quantile_2",0,4.44089209850063e-16,0,0,3.15493711330159e-15,0,0,5.55111512312578e-16,0,0,200,200,0
"primary_controlled",1,7,20360718,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,4.88498130835069e-15,0,0,3.15493711330159e-15,0,0,2.44249065417534e-15,0,0,200,200,0
"primary_controlled",1,7,20360718,100,20,"independent","sparsified","quantile_8",1.11022302462516e-16,8.88178419700125e-16,0,0,3.15493711330159e-15,0,0,0,0,0,200,200,0
"primary_controlled",1,7,20360718,100,20,"independent","sparsified","equal_width_4",1.11022302462516e-16,3.5527136788005e-15,0,0,3.15493711330159e-15,0,0,3.33066907387547e-16,0,0,200,200,0
"primary_controlled",1,8,20360719,100,20,"independent","original","original",0,4.44089209850063e-16,0,0,2.64805149045571e-15,0,0,2.44249065417534e-15,0,0,200,200,0
"primary_controlled",1,8,20360719,100,20,"independent","sparsified","quantile_2",0,4.44089209850063e-15,0,0,2.64805149045571e-15,0,0,1.55431223447522e-15,0,0,200,200,0
"primary_controlled",1,8,20360719,100,20,"independent","sparsified","quantile_4",0,3.5527136788005e-15,0,0,2.64805149045571e-15,0,0,3.66373598126302e-15,0,0,200,200,0
"primary_controlled",1,8,20360719,100,20,"independent","sparsified","quantile_8",1.11022302462516e-16,4.44089209850063e-16,0,0,2.64805149045571e-15,0,0,1.11022302462516e-15,0,0,200,200,0
"primary_controlled",1,8,20360719,100,20,"independent","sparsified","equal_width_4",1.11022302462516e-16,2.66453525910038e-15,0,0,2.64805149045571e-15,0,0,2.22044604925031e-15,0,0,200,200,0
"primary_controlled",1,9,20360720,100,20,"independent","original","original",0,3.77475828372553e-15,0,0,4.67598500377076e-15,0,0,2.88657986402541e-15,0,0,200,200,0
"primary_controlled",1,9,20360720,100,20,"independent","sparsified","quantile_2",0,4.21884749357559e-15,0,0,4.67598500377076e-15,0,0,0,0,0,200,200,0
"primary_controlled",1,9,20360720,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,3.5527136788005e-15,0,0,4.67598500377076e-15,0,0,2.1094237467878e-15,0,0,200,200,0
"primary_controlled",1,9,20360720,100,20,"independent","sparsified","quantile_8",1.11022302462516e-16,4.44089209850063e-15,0,0,4.67598500377076e-15,0,0,4.44089209850063e-16,0,0,200,200,0
"primary_controlled",1,9,20360720,100,20,"independent","sparsified","equal_width_4",0,4.66293670342566e-15,0,0,4.67598500377076e-15,0,0,2.22044604925031e-16,0,0,200,200,0
