"dimension","correlation","scheme","method","group_weight_specification","df_definition","delta_f1_s_mean","delta_f1_s_ci_low","delta_f1_s_ci_high","delta_rmse_s_mean","delta_rmse_s_ci_low","delta_rmse_s_ci_high","entry_order_tau_original_vs_sparse_mean","active_set_jaccard_s_original_vs_sparse_mean","sparse_component_count_s_mean","sparse_df_diagnostic_s_mean"
"n=100, p=20","block","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.156606060606061,-0.191040152191905,-0.122171969020216,0.0604452623104214,0.025529228091625,0.0953612965292179,0.420724950252897,0.598392857142857,20.36,5.9986596298991
"n=100, p=20","block","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.267757575757576,-0.306919335551233,-0.228595815963919,0.574766148542826,0.516104160656946,0.633428136428706,0.248642911578292,0.411940476190476,6.24,6.24
"n=100, p=20","block","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.206666666666667,-0.243879017596046,-0.169454315737287,0.173448304933644,0.130846918647529,0.21604969121976,0.353690904164232,0.524246031746032,40.39,9.58772528102062
"n=100, p=20","independent","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.162545454545454,-0.187415305081763,-0.137675604009146,0.376575791298458,0.339433718603228,0.413717863993689,0.530740837368419,0.732083333333333,8.72,8.72
"n=100, p=20","independent","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.118727272727273,-0.144216792355001,-0.0932377530995448,-0.0362266916826617,-0.0682174384338309,-0.0042359449314925,0.531120445321324,0.788511904761905,20.28,8.5561645589814
"n=100, p=20","independent","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.02,-0.0333098335359106,-0.00669016646408933,0.114079074269695,0.0956768551027774,0.132481293436614,0.737558221782119,0.953333333333333,7.6,7.6
"n=100, p=20","independent","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.0249090909090909,-0.0402025611204076,-0.00961562069777415,0.0381191017727219,0.0257999219370593,0.0504382816083845,0.681347242216637,0.949285714285714,10.04,3.27908363601516
"n=100, p=20","independent","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.0974545454545454,-0.118845480762092,-0.0760636101469983,0.243928659637707,0.215096803028078,0.272760516247337,0.561348852740287,0.823333333333333,7.69,7.69
"n=100, p=20","independent","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.114181818181818,-0.137238353232246,-0.0911252831313905,-0.0282576976408513,-0.0625868733934253,0.00607147811172266,0.540288820090643,0.798809523809524,20.24,8.38392848512023
"n=100, p=20","independent","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.230939393939394,-0.260694176856742,-0.201184611022046,0.48228670169204,0.440325420982877,0.524247982401202,0.436074853358879,0.631428571428571,7.72,7.72
"n=100, p=20","independent","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.182757575757576,-0.208235813638684,-0.157279337876467,0.131738078018397,0.0958524813748868,0.167623674661906,0.469823336678798,0.695595238095238,40.8,13.6102068820994
"n=100, p=100","ar1_rho_0.5","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.272353472614342,-0.29608673547716,-0.248620209751524,0.67006847390298,0.628178153472096,0.711958794333864,0.253107485162338,0.394145394595085,12.23,12.23
"n=100, p=100","ar1_rho_0.5","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.1894016563147,-0.214629261273657,-0.164174051355742,0.328098137539057,0.293100210941946,0.363096064136168,0.29387658733123,0.503034340659341,41.56,9.34039643539599
"n=100, p=100","ar1_rho_0.5","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.0775151515151516,-0.094655070795999,-0.0603752322343041,0.262472450071661,0.235266669879695,0.289678230263627,0.46394459144508,0.680278554778555,12.83,12.83
"n=100, p=100","ar1_rho_0.5","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.0814935064935065,-0.100418334332037,-0.0625686786549756,0.169981371633751,0.14457163026195,0.195391113005553,0.41694954404005,0.690448051948052,20.22,4.91519259519479
"n=100, p=100","ar1_rho_0.5","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.206380952380952,-0.228183144622801,-0.184578760139103,0.507618826793864,0.473222567694773,0.542015085892954,0.285183494868141,0.479786856933916,12.29,12.29
"n=100, p=100","ar1_rho_0.5","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.18817316017316,-0.211372910316944,-0.164973410029376,0.319760292324029,0.284673362602388,0.35484722204567,0.290987213927254,0.502150787121375,40.8,9.49104303334234
"n=100, p=100","ar1_rho_0.5","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.372127799736495,-0.399728313079244,-0.344527286393747,0.763826786474558,0.723269874794402,0.804383698154714,0.187379037414635,0.278062046140994,11.52,11.52
"n=100, p=100","ar1_rho_0.5","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.296375682288726,-0.320089517237448,-0.272661847340003,0.524263061829876,0.484645438998241,0.56388068466151,0.228446136574854,0.357593513856285,82.96,15.0106231755725
"n=100, p=100","ar1_rho_0.9","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.189285714285714,-0.215606660276079,-0.16296476829535,0.601306472338246,0.556711519030242,0.645901425646251,0.201327887674996,0.246729515625413,11.4,11.4
"n=100, p=100","ar1_rho_0.9","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.118502164502164,-0.142029548303858,-0.094974780700471,0.220095261399323,0.189825965198974,0.250364557599671,0.238311311705666,0.40497872608128,40.8,8.88179417260552
"n=100, p=100","ar1_rho_0.9","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.0717878787878788,-0.0935045977833949,-0.0500711597923627,0.272746261766302,0.239598820079361,0.305893703453244,0.410342195623489,0.505486846486846,11.38,11.38
"n=100, p=100","ar1_rho_0.9","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.0544761904761905,-0.0709265162603896,-0.0380258646919914,0.103476059676441,0.0797939315313292,0.127158187821553,0.384516745476525,0.644736138861139,20.36,4.90855611405674
"n=100, p=100","ar1_rho_0.9","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.134134199134199,-0.157349185814591,-0.110919212453808,0.445515028110459,0.407984412465869,0.48304564375505,0.225319196494444,0.360924938193901,11.18,11.18
"n=100, p=100","ar1_rho_0.9","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.130891774891775,-0.154225170618658,-0.107558379164892,0.229466334887331,0.195937286485519,0.262995383289142,0.238728357791913,0.423658601202719,40.6,8.70100054899491
"n=100, p=100","ar1_rho_0.9","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.19874025974026,-0.225567624868611,-0.171912894611908,0.66368267790862,0.616182744009631,0.711182611807608,0.14822297624812,0.232846294658214,11.34,11.34
"n=100, p=100","ar1_rho_0.9","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.169337662337662,-0.194408877550845,-0.14426644712448,0.368158551240483,0.332422888528301,0.403894213952665,0.192826362176316,0.324708530848237,82.72,13.7862725755299
"n=100, p=100","block","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.223614718614719,-0.249750106504571,-0.197479330724866,0.599519702451868,0.561437516476573,0.637601888427162,0.204126573360346,0.291518196414868,11.16,11.16
"n=100, p=100","block","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.126783738001129,-0.150638118218324,-0.102929357783934,0.221834343459548,0.192632632927404,0.251036053991692,0.258628806391521,0.437999278499278,41.16,9.21233866170921
"n=100, p=100","block","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.079982683982684,-0.0999211720486456,-0.0600441959167223,0.26048561581733,0.22866046900539,0.29231076262927,0.424605580136944,0.545658806879395,11.76,11.76
"n=100, p=100","block","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.0295064935064935,-0.0455777372791568,-0.0134352497338303,0.101864056424885,0.0797554074463377,0.123972705403433,0.398402963968062,0.681710789210789,20.28,4.80685315809099
"n=100, p=100","block","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.142484848484848,-0.166099037826399,-0.118870659143298,0.437024809445492,0.402096165880107,0.471953453010876,0.244664157313096,0.414097293616256,11.48,11.48
"n=100, p=100","block","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.125770562770563,-0.149740787862599,-0.101800337678526,0.211146886941375,0.183250007085485,0.239043766797266,0.253975758871366,0.456210407239819,40.96,9.46122843437876
"n=100, p=100","block","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.233164502164502,-0.262318218002315,-0.204010786326689,0.662271006406977,0.620618376991349,0.703923635822605,0.149212292829736,0.25631693817878,11.41,11.41
"n=100, p=100","block","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.190635987201205,-0.217836060168091,-0.163435914234318,0.371912945741257,0.343323021077703,0.400502870404811,0.195381199840918,0.339412889784794,81.76,14.0647754945171
"n=100, p=100","independent","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.258251082251082,-0.283828186748231,-0.232673977753933,0.696668278770028,0.654764784864,0.738571772676057,0.270847477033927,0.429926069415621,12.64,12.64
"n=100, p=100","independent","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.192757575757576,-0.216250837172471,-0.16926431434268,0.405702735312997,0.367651812087923,0.443753658538071,0.302462212727852,0.51581351981352,41.08,8.87544164899779
"n=100, p=100","independent","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.074407114624506,-0.0915257411813452,-0.0572884880676667,0.287535452369648,0.253163070873548,0.321907833865748,0.479918477641913,0.73450715950716,13.03,13.03
"n=100, p=100","independent","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.0824112554112554,-0.100284907075891,-0.0645376037466197,0.208913011830804,0.177464647627189,0.240361376034418,0.429649500296533,0.713770396270396,20.42,5.09014927306281
"n=100, p=100","independent","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.221623564840956,-0.247088520234414,-0.196158609447498,0.548026002801406,0.508440898188606,0.587611107414206,0.291866899843182,0.469075968149498,12.34,12.34
"n=100, p=100","independent","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.205497835497836,-0.228930916335232,-0.182064754660439,0.410809515028169,0.371931635854386,0.449687394201951,0.300476753985875,0.497677405927406,40.76,8.9075558296544
"n=100, p=100","independent","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.375343873517787,-0.402611155517621,-0.348076591517953,0.791430661843962,0.747636233267529,0.835225090420394,0.183767211051226,0.310861216956418,11.67,11.67
"n=100, p=100","independent","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.310080274797666,-0.339100307402279,-0.281060242193054,0.591498002020648,0.549909025151218,0.633086978890078,0.232048472704331,0.363702810948941,83.36,15.0462259900771
"n=100, p=200","ar1_rho_0.5","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.233743888933906,-0.252624001345783,-0.214863776522029,0.707298897211916,0.666002837776153,0.748594956647679,0.233319976444804,0.276518275093158,22.54,22.54
"n=100, p=200","ar1_rho_0.5","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.194860330065095,-0.213679101035551,-0.176041559094639,0.531162402777895,0.494595807525292,0.567728998030497,0.251242609661777,0.326938113659855,81.56,13.7859235488751
"n=100, p=200","ar1_rho_0.5","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.0853824784593361,-0.101942978268317,-0.0688219786503556,0.307346488401463,0.277451037694278,0.337241939108647,0.459757619586917,0.542566363847302,23,23
"n=100, p=200","ar1_rho_0.5","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.101896415741566,-0.116960200618903,-0.0868326308642291,0.277391010039532,0.250577128737002,0.304204891342062,0.390434479960347,0.50212030857651,40.64,8.62199637096999
