"dataset","representation","method","k","metric","n_runs","mean","sd","se","ci_lower","ci_upper","min","max","confidence_level"
"housing_years","sparsified","kmeans",3,"silhouette",30,0.565933695409733,0,0,0.565933695409733,0.565933695409733,0.565933695409733,0.565933695409733,0.95
"housing_years","sparsified","kmeans",3,"normalized_mutual_information",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","sparsified","kmeans",3,"davies_bouldin",30,0.764731602176877,0,0,0.764731602176877,0.764731602176877,0.764731602176877,0.764731602176877,0.95
"housing_years","sparsified","kmeans",3,"calinski_harabasz",30,18.2536910471231,0,0,18.2536910471231,18.2536910471231,18.2536910471231,18.2536910471231,0.95
"housing_years","sparsified","kmeans",3,"total_withinss",30,288.758154712191,0,0,288.758154712191,288.758154712191,288.758154712191,288.758154712191,0.95
"housing_years","sparsified","kmeans",3,"runtime_sec",30,0.0033333333333303,0.00660894552250666,0.00120662284799989,0.000865512517726349,0.00580115414893425,0,0.0199999999999818,0.95
"housing_years","sparsified","kmeans",4,"adjusted_rand_index",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","sparsified","kmeans",4,"clustering_accuracy",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","sparsified","kmeans",4,"purity",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","sparsified","kmeans",4,"silhouette",30,0.675924163706872,0,0,0.675924163706872,0.675924163706872,0.675924163706872,0.675924163706872,0.95
"housing_years","sparsified","kmeans",4,"normalized_mutual_information",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","sparsified","kmeans",4,"davies_bouldin",30,0.550581214556078,0,0,0.550581214556078,0.550581214556078,0.550581214556078,0.550581214556078,0.95
"housing_years","sparsified","kmeans",4,"calinski_harabasz",30,39.9853033762001,4.57069064127805e-15,8.34490122535248e-16,39.9853033762001,39.9853033762001,39.9853033762001,39.9853033762001,0.95
"housing_years","sparsified","kmeans",4,"total_withinss",30,117.12702178551,0,0,117.12702178551,117.12702178551,117.12702178551,117.12702178551,0.95
"housing_years","sparsified","kmeans",4,"runtime_sec",30,0.00100000000000288,0.00402577899936959,0.000735003323161767,-0.000503250583593608,0.00250325058359937,0,0.0199999999999818,0.95
"housing_years","sparsified","kmeans",5,"adjusted_rand_index",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","sparsified","kmeans",5,"clustering_accuracy",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","sparsified","kmeans",5,"purity",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","sparsified","kmeans",5,"silhouette",30,0.658013394766086,0,0,0.658013394766086,0.658013394766086,0.658013394766086,0.658013394766086,0.95
"housing_years","sparsified","kmeans",5,"normalized_mutual_information",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","sparsified","kmeans",5,"davies_bouldin",30,0.525223348093539,0,0,0.525223348093539,0.525223348093539,0.525223348093539,0.525223348093539,0.95
"housing_years","sparsified","kmeans",5,"calinski_harabasz",30,67.0076267961743,9.14138128255611e-15,1.6689802450705e-15,67.0076267961743,67.0076267961743,67.0076267961743,67.0076267961743,0.95
"housing_years","sparsified","kmeans",5,"total_withinss",30,55.2217770312028,0,0,55.2217770312028,55.2217770312028,55.2217770312028,55.2217770312028,0.95
"housing_years","sparsified","kmeans",5,"runtime_sec",30,0.0033333333333303,0.00711159002218113,0.00129839275829242,0.000677821976940197,0.00598884468972041,0,0.0199999999999818,0.95
