"dataset","representation","method","k","n_used","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","runtime_sec"
"breast_tissue","original","kmeans",2,106,0.492559951176643,0.957532838347397,79.6312938053753,0.196644396747181,0.457986397112884,0.39622641509434,0.39622641509434,0
"breast_tissue","original","kmeans",3,106,0.448518473812906,0.996805084384205,68.3985613110276,0.18185211003271,0.480967695146052,0.367924528301887,0.405660377358491,0
"breast_tissue","original","kmeans",4,106,0.40549834047663,0.712986677721736,74.6839255042215,0.310805114514543,0.531097988729949,0.5,0.509433962264151,0.00999999999999801
"breast_tissue","original","kmeans",5,106,0.422590958421291,0.770768790078436,82.7308752318138,0.298200819428775,0.552080457612457,0.471698113207547,0.518867924528302,0.019999999999996
"breast_tissue","original","kmeans",6,106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,0
"breast_tissue","original","kmeans",7,106,0.317198208637991,0.933800102623915,83.0657167344201,0.269715038060503,0.507674317708038,0.5,0.575471698113208,0
"breast_tissue","original","kmeans",8,106,0.329575023236881,0.866585121230601,80.212936073216,0.272309790786476,0.529669667297752,0.481132075471698,0.613207547169811,0.00999999999999801
"breast_tissue","sparsified","kmeans",2,106,0.149279982919359,1.90075529543138,19.0109393637283,0.12037848786239,0.265756980043535,0.339622641509434,0.339622641509434,0
"breast_tissue","sparsified","kmeans",3,106,0.195432054836767,1.92252972344731,20.2422061780089,0.344173799307006,0.484458561561044,0.528301886792453,0.528301886792453,0.0200000000000031
"breast_tissue","sparsified","kmeans",4,106,0.219959444835426,1.73066638624459,19.3335208793475,0.421988388969521,0.519113848279821,0.594339622641509,0.594339622641509,0
"breast_tissue","sparsified","kmeans",5,106,0.210686736659411,1.70697954292643,17.9218860934135,0.381386539816772,0.532084762451361,0.566037735849057,0.60377358490566,0.019999999999996
"breast_tissue","sparsified","kmeans",6,106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,0.00999999999999801
"breast_tissue","sparsified","kmeans",7,106,0.205292634990515,1.575081810362,16.2571348452141,0.307606282935425,0.509877275240958,0.462264150943396,0.584905660377358,0.0200000000000031
"breast_tissue","sparsified","kmeans",8,106,0.20683648070349,1.46470262352696,15.9122513881518,0.349477949334117,0.537849512781594,0.537735849056604,0.632075471698113,0.00999999999999801
"hcv","original","kmeans",2,615,0.231681878408317,1.72838806629671,121.717472116386,-0.0225121046653353,0.0177138018760381,0.533333333333333,0.866666666666667,0.00999999999999801
"hcv","original","kmeans",3,615,0.255799567348129,1.63806391145295,123.801633847417,0.132858374386723,0.209185084556282,0.56260162601626,0.899186991869919,0.00999999999999801
"hcv","original","kmeans",4,615,0.260247528903486,1.36344061197584,109.052234415703,0.133048896027007,0.210264048862416,0.557723577235772,0.899186991869919,0.0200000000000031
"hcv","original","kmeans",5,615,0.192925332278016,1.64961051015326,98.4713960376111,0.0729991872892534,0.154353043349067,0.403252032520325,0.899186991869919,0.0300000000000011
"hcv","original","kmeans",6,615,0.194323358739985,1.63179151991202,94.4897505832622,0.08464052686444,0.185236431351972,0.404878048780488,0.899186991869919,0.0500000000000043
"hcv","original","kmeans",7,615,0.18801173922758,1.51610096948541,90.4694653323423,0.0599663966809746,0.143774311937252,0.391869918699187,0.892682926829268,0.0500000000000043
"hcv","sparsified","kmeans",2,615,0.0695923805692813,3.86478193828685,38.0976583934473,0.0216401367696885,0.0509495711899971,0.554471544715447,0.866666666666667,0.0600000000000023
"hcv","sparsified","kmeans",3,615,0.0648785752185186,3.10008518286351,39.2113129555728,0.130224099040516,0.202138333499284,0.554471544715447,0.895934959349593,0.0599999999999952
"hcv","sparsified","kmeans",4,615,0.0437436707382192,3.59315874838693,32.1709544975426,0.082626825001976,0.181849204148021,0.398373983739837,0.897560975609756,0.119999999999997
"hcv","sparsified","kmeans",5,615,0.0403809520971646,3.63595835000515,28.0613427859292,0.0537032489350561,0.169955270028049,0.32520325203252,0.899186991869919,0.110000000000007
"hcv","sparsified","kmeans",6,615,0.043933344656438,3.32018695586409,25.8308241450231,0.0548110077114637,0.172209289172452,0.321951219512195,0.897560975609756,0.160000000000004
