"dataset","method","k","metric","difference_definition","n_pairs","mean_difference","sd_difference","se_difference","ci_lower","ci_upper","min_difference","max_difference","confidence_level"
"pen_recognition_handwritten_digits","kmeans",10,"normalized_mutual_information","sparsified_minus_original",30,-0.06026990307549,0.0058916088948595,0.00107565569723754,-0.0624698659922092,-0.0580699401587709,-0.066284834758926,-0.0451775297053542,0.95
"pen_recognition_handwritten_digits","kmeans",10,"davies_bouldin","sparsified_minus_original",30,0.987900175443662,0.0724925214967037,0.0132352630913909,0.960831023047725,1.0149693278396,0.934425491634686,1.16967061051595,0.95
"pen_recognition_handwritten_digits","kmeans",10,"calinski_harabasz","sparsified_minus_original",30,-1725.35098006867,2.86936784857405,0.523872498814692,-1726.42241963195,-1724.2795405054,-1727.21188720713,-1710.91800870633,0.95
"pen_recognition_handwritten_digits","kmeans",10,"total_withinss","sparsified_minus_original",30,362880.081973684,186.874860316383,34.1185254753033,362810.301754036,362949.862193332,362711.030243718,363174.334618434,0.95
"pen_recognition_handwritten_digits","kmeans",10,"runtime_sec","sparsified_minus_original",30,4.50233333333333,2.06227808976875,0.376518743205004,3.73226603891191,5.27240062775476,0.879999999999995,9.77000000000001,0.95
"libras_movement","kmeans",15,"adjusted_rand_index","sparsified_minus_original",30,-0.0348925688076525,0.0161094363348369,0.00294116722309451,-0.0409079311947946,-0.0288772064205105,-0.054924823829972,-0.000408782492111126,0.95
"libras_movement","kmeans",15,"clustering_accuracy","sparsified_minus_original",30,-0.0197222222222222,0.0218399836809929,0.00398741723920818,-0.0278774061554017,-0.0115670382890427,-0.0527777777777778,0.0222222222222222,0.95
"libras_movement","kmeans",15,"purity","sparsified_minus_original",30,-0.0101851851851852,0.0197274604955077,0.00360172503856053,-0.0175515399968607,-0.00281883037350963,-0.0472222222222222,0.0277777777777778,0.95
"libras_movement","kmeans",15,"silhouette","sparsified_minus_original",30,-0.144023624494557,0.00481697022620002,0.000879454417240171,-0.145822310737601,-0.142224938251513,-0.153953364939565,-0.134029265218626,0.95
"libras_movement","kmeans",15,"normalized_mutual_information","sparsified_minus_original",30,-0.044022420506581,0.0129438999546235,0.0023632219957458,-0.0488557521832203,-0.0391890888299416,-0.06361722766371,-0.0222664617177349,0.95
"libras_movement","kmeans",15,"davies_bouldin","sparsified_minus_original",30,0.974797085729026,0.0425542249291889,0.00776930297028848,0.958907076995483,0.99068709446257,0.862152576585811,1.05620545544343,0.95
"libras_movement","kmeans",15,"calinski_harabasz","sparsified_minus_original",30,-38.2919992012904,0.408472099780962,0.0745764610538447,-38.444525190043,-38.1394732125377,-38.8745717116391,-37.4515327851209,0.95
"libras_movement","kmeans",15,"total_withinss","sparsified_minus_original",30,70525.2378167471,308.971853742263,56.4102846429414,70409.8658304743,70640.60980302,69826.1612782471,71037.7849554791,0.95
"libras_movement","kmeans",15,"runtime_sec","sparsified_minus_original",30,0.634666666666669,0.230692112077359,0.0421184245410931,0.548524816315296,0.720808517018042,0.339999999999975,1.07999999999998,0.95
"vehicle_silhouettes","kmeans",4,"adjusted_rand_index","sparsified_minus_original",30,0.0450977554732406,0.00171108611284078,0.000312400153945575,0.0444588254181843,0.0457366855282969,0.0440263404806784,0.048786630394954,0.95
"vehicle_silhouettes","kmeans",4,"clustering_accuracy","sparsified_minus_original",30,0.0882978723404255,0.00515843734151486,0.000941797497808224,0.0863716801810217,0.0902240644998293,0.0756501182033097,0.0933806146572104,0.95
