"dataset","method","k","metric","difference_definition","n_pairs","mean_difference","sd_difference","se_difference","ci_lower","ci_upper","min_difference","max_difference","confidence_level"
"vertebral_column_3classes","kmeans",3,"silhouette","sparsified_minus_original",30,-0.16987556450627,0,0,-0.16987556450627,-0.16987556450627,-0.16987556450627,-0.16987556450627,0.95
"vertebral_column_2classes","kmeans",2,"adjusted_rand_index","sparsified_minus_original",30,0.0257640949064491,0,0,0.0257640949064491,0.0257640949064491,0.0257640949064491,0.0257640949064491,0.95
"vertebral_column_2classes","kmeans",2,"clustering_accuracy","sparsified_minus_original",30,0.0161290322580645,0,0,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.95
"vertebral_column_2classes","kmeans",2,"purity","sparsified_minus_original",30,0.00322580645161297,0,0,0.00322580645161297,0.00322580645161297,0.00322580645161297,0.00322580645161297,0.95
"vertebral_column_2classes","kmeans",2,"silhouette","sparsified_minus_original",30,-0.231792495168149,0,0,-0.231792495168149,-0.231792495168149,-0.231792495168149,-0.231792495168149,0.95
"user_knowledge_modeling","kmeans",5,"adjusted_rand_index","sparsified_minus_original",30,0.327876541147868,0.0127477946552933,0.00232741823038265,0.323116436393449,0.332636645902286,0.291184650103504,0.339331851818537,0.95
"user_knowledge_modeling","kmeans",5,"clustering_accuracy","sparsified_minus_original",30,0.273035566583954,0.0162713421361285,0.00297072704294729,0.266959747577033,0.279111385590875,0.230769230769231,0.28287841191067,0.95
"user_knowledge_modeling","kmeans",5,"purity","sparsified_minus_original",30,0.266253101736973,0.00632296990763291,0.00115441108294563,0.263892065970926,0.26861413750302,0.255583126550868,0.277915632754342,0.95
"user_knowledge_modeling","kmeans",5,"silhouette","sparsified_minus_original",30,-0.0637775929926187,0.00142921605889887,0.000260937958335847,-0.0643112710397648,-0.0632439149454727,-0.0643433337055801,-0.0586383346752032,0.95
"banknote_authentication","kmeans",2,"adjusted_rand_index","sparsified_minus_original",30,0.0104075262892254,0,0,0.0104075262892254,0.0104075262892254,0.0104075262892254,0.0104075262892254,0.95
"banknote_authentication","kmeans",2,"clustering_accuracy","sparsified_minus_original",30,0.0189504373177842,0,0,0.0189504373177842,0.0189504373177842,0.0189504373177842,0.0189504373177842,0.95
"banknote_authentication","kmeans",2,"purity","sparsified_minus_original",30,0.0189504373177842,0,0,0.0189504373177842,0.0189504373177842,0.0189504373177842,0.0189504373177842,0.95
"banknote_authentication","kmeans",2,"silhouette","sparsified_minus_original",30,-0.189088667197169,0.00243499861853368,0.000444567890288272,-0.189997910624327,-0.188179423770011,-0.194835458276316,-0.184162130760189,0.95
"wine","kmeans",3,"adjusted_rand_index","sparsified_minus_original",30,0.0173846145576322,0,0,0.0173846145576322,0.0173846145576322,0.0173846145576322,0.0173846145576322,0.95
"wine","kmeans",3,"clustering_accuracy","sparsified_minus_original",30,0.0056179775280899,0,0,0.0056179775280899,0.0056179775280899,0.0056179775280899,0.0056179775280899,0.95
"wine","kmeans",3,"purity","sparsified_minus_original",30,0.0056179775280899,0,0,0.0056179775280899,0.0056179775280899,0.0056179775280899,0.0056179775280899,0.95
"wine","kmeans",3,"silhouette","sparsified_minus_original",30,-0.168198580777217,0,0,-0.168198580777217,-0.168198580777217,-0.168198580777217,-0.168198580777217,0.95
