"dataset","representation","method","k","metric","n_runs","mean","sd","se","ci_lower","ci_upper","min","max","confidence_level"
"pen_recognition_handwritten_digits","sparsified","kmeans",10,"adjusted_rand_index",30,0.486034760304935,0.0155080633488688,0.00283137203979818,0.480243954281234,0.491825566328636,0.475250351692541,0.530362223913551,0.95
"pen_recognition_handwritten_digits","sparsified","kmeans",10,"clustering_accuracy",30,0.627435104318292,0.0316283874632665,0.00577452709038156,0.615624870343745,0.639245338292839,0.589974526928675,0.713427947598253,0.95
"pen_recognition_handwritten_digits","sparsified","kmeans",10,"purity",30,0.661917758369723,0.017570311567912,0.0032078853293798,0.655356896205513,0.668478620533934,0.653566229985444,0.717066957787482,0.95
"pen_recognition_handwritten_digits","sparsified","kmeans",10,"silhouette",30,0.119670585637723,0.00421290416013061,0.000769167547036965,0.118097461370756,0.121243709904689,0.110530400294446,0.131392939976533,0.95
"statlog_image_segmentation","original","kmeans",7,"adjusted_rand_index",30,0.463658256605698,0.00608669295078896,0.00111127300991827,0.461385448105311,0.465931065106085,0.459982026912638,0.477380756074537,0.95
"statlog_image_segmentation","original","kmeans",7,"clustering_accuracy",30,0.552265512265512,0.0152236074469003,0.00277943773509031,0.546580923821243,0.557950100709781,0.545021645021645,0.586580086580087,0.95
"statlog_image_segmentation","original","kmeans",7,"purity",30,0.561529581529582,0.0169134169650879,0.00308795333208974,0.555214007841269,0.567845155217894,0.553679653679654,0.5995670995671,0.95
"statlog_image_segmentation","original","kmeans",7,"silhouette",30,0.346710397978708,0.0208130208222586,0.00379992033139192,0.338938688279202,0.354482107678213,0.294491305086371,0.364310471523898,0.95
"statlog_image_segmentation","sparsified","kmeans",7,"adjusted_rand_index",30,0.492674273775267,0.0171209212516237,0.0031258382582613,0.486281216712959,0.499067330837576,0.440699602050363,0.509810690885779,0.95
"statlog_image_segmentation","sparsified","kmeans",7,"clustering_accuracy",30,0.606017316017316,0.0116283646242744,0.00212303920387005,0.601675213306151,0.610359418728481,0.574025974025974,0.616017316017316,0.95
"statlog_image_segmentation","sparsified","kmeans",7,"purity",30,0.625252525252525,0.0147227119212085,0.00268798714229871,0.619754974271424,0.630750076233626,0.581385281385281,0.633333333333333,0.95
"statlog_image_segmentation","sparsified","kmeans",7,"silhouette",30,0.192493828131942,0.00613576503389157,0.00112023230553795,0.190202695814581,0.194784960449303,0.175331552913928,0.207672127754034,0.95
"user_knowledge_modeling","original","kmeans",5,"adjusted_rand_index",30,0.102354758653287,0.00199429431871713,0.000364106661555256,0.101610076916176,0.103099440390398,0.0957576840111761,0.105742700805764,0.95
"user_knowledge_modeling","original","kmeans",5,"clustering_accuracy",30,0.377832919768404,0.00491693263871971,0.000897704973320061,0.375996906947079,0.379668932589728,0.37468982630273,0.387096774193548,0.95
"user_knowledge_modeling","original","kmeans",5,"purity",30,0.462448304383788,0.00506790904217055,0.000925269367260404,0.46055591604691,0.464340692720667,0.459057071960298,0.471464019851117,0.95
"user_knowledge_modeling","original","kmeans",5,"silhouette",30,0.182259128008739,0.000309342357402093,5.64779290469839e-05,0.182143617674126,0.182374638343352,0.181411092497853,0.182436221743452,0.95
"user_knowledge_modeling","sparsified","kmeans",5,"adjusted_rand_index",30,0.430231299801155,0.0127957637919427,0.00233617615645162,0.425453283076736,0.435009316525573,0.393249719280232,0.435089535829713,0.95
"user_knowledge_modeling","sparsified","kmeans",5,"clustering_accuracy",30,0.650868486352357,0.0163969947776017,0.00299366797166228,0.64474574787801,0.656991224826704,0.60545905707196,0.657568238213399,0.95
"user_knowledge_modeling","sparsified","kmeans",5,"purity",30,0.728701406120761,0.00453037681972844,0.000827129859387927,0.727009735614448,0.730393076627074,0.727047146401985,0.744416873449132,0.95
"user_knowledge_modeling","sparsified","kmeans",5,"silhouette",30,0.11848153501612,0.00121537978601534,0.000221896974912134,0.11802770474553,0.11893536528671,0.118092888037872,0.122885277272611,0.95
"vehicle_silhouettes","original","kmeans",4,"adjusted_rand_index",30,0.0750530370881293,0.00171108611284078,0.000312400153945575,0.074414107033073,0.0756919671431856,0.0713641621664159,0.0761244520806915,0.95
"vehicle_silhouettes","original","kmeans",4,"clustering_accuracy",30,0.360874704491726,0.00515843734151486,0.000941797497808224,0.358948512332322,0.36280089665113,0.355791962174941,0.373522458628842,0.95
"vehicle_silhouettes","original","kmeans",4,"purity",30,0.36816390858944,0.00218911925049564,0.000399676664855088,0.36734647802721,0.368981339151671,0.366430260047281,0.373522458628842,0.95
"vehicle_silhouettes","original","kmeans",4,"silhouette",30,0.297237128156582,0.02045001468987,0.00373364478231794,0.289600967174592,0.304873289138573,0.245994971229242,0.305389094559658,0.95
"vehicle_silhouettes","sparsified","kmeans",4,"adjusted_rand_index",30,0.12015079256137,0,0,0.12015079256137,0.12015079256137,0.12015079256137,0.12015079256137,0.95
"vehicle_silhouettes","sparsified","kmeans",4,"clustering_accuracy",30,0.449172576832151,0,0,0.449172576832151,0.449172576832151,0.449172576832151,0.449172576832151,0.95
"vehicle_silhouettes","sparsified","kmeans",4,"purity",30,0.449172576832151,0,0,0.449172576832151,0.449172576832151,0.449172576832151,0.449172576832151,0.95
"vehicle_silhouettes","sparsified","kmeans",4,"silhouette",30,0.164645437655601,0,0,0.164645437655601,0.164645437655601,0.164645437655601,0.164645437655601,0.95
"vertebral_column_2classes","original","kmeans",2,"adjusted_rand_index",30,0.101851901452218,0,0,0.101851901452218,0.101851901452218,0.101851901452218,0.101851901452218,0.95
"vertebral_column_2classes","original","kmeans",2,"clustering_accuracy",30,0.664516129032258,0,0,0.664516129032258,0.664516129032258,0.664516129032258,0.664516129032258,0.95
"vertebral_column_2classes","original","kmeans",2,"purity",30,0.67741935483871,0,0,0.67741935483871,0.67741935483871,0.67741935483871,0.67741935483871,0.95
"vertebral_column_2classes","original","kmeans",2,"silhouette",30,0.362901784727651,0,0,0.362901784727651,0.362901784727651,0.362901784727651,0.362901784727651,0.95
"vertebral_column_2classes","sparsified","kmeans",2,"adjusted_rand_index",30,0.127615996358667,0,0,0.127615996358667,0.127615996358667,0.127615996358667,0.127615996358667,0.95
"vertebral_column_2classes","sparsified","kmeans",2,"clustering_accuracy",30,0.680645161290323,0,0,0.680645161290323,0.680645161290323,0.680645161290323,0.680645161290323,0.95
"vertebral_column_2classes","sparsified","kmeans",2,"purity",30,0.680645161290323,0,0,0.680645161290323,0.680645161290323,0.680645161290323,0.680645161290323,0.95
"vertebral_column_2classes","sparsified","kmeans",2,"silhouette",30,0.131109289559502,0,0,0.131109289559502,0.131109289559502,0.131109289559502,0.131109289559502,0.95
"vertebral_column_3classes","original","kmeans",3,"adjusted_rand_index",30,0.211391479326811,0,0,0.211391479326811,0.211391479326811,0.211391479326811,0.211391479326811,0.95
"vertebral_column_3classes","original","kmeans",3,"clustering_accuracy",30,0.467741935483871,0,0,0.467741935483871,0.467741935483871,0.467741935483871,0.467741935483871,0.95
"vertebral_column_3classes","original","kmeans",3,"purity",30,0.667741935483871,0,0,0.667741935483871,0.667741935483871,0.667741935483871,0.667741935483871,0.95
