"x1_std","x2_std","x3_std","x4_std","x5_std","x6_std","x7_std"
0,0,0,0,0,0,0
0,0,0,0,0,0,0.0986344284119461
0,0,0,0,0.0572597167148803,0,0.155894145126831
0,0,0,0.0327542998649668,0.0667328918426858,0,0.188794491510965
0,0,-0.050801587747198,0.00959590974379766,0.0494374834317904,0,0.279549147575051
0,0,-0.0645179210249179,0,0.0443320341989288,0.00782956413428381,0.299991936006744
0,0,-0.0692837783013463,0,0.0406497312248911,0.00831462927836272,0.307923609035233
0,-0.0715212767593277,-0.137830901420696,0,0.0612639302818881,0.0132990378411047,0.42153979061845
0.0593381901174832,-0.125313956538312,-0.198454984985057,0,0.0873924771045861,0.014632281920869,0.448548690596877
0.10125900349936,-0.139312886694394,-0.246519845962316,-0.0331670846779632,0.0960960956557574,0.0390124009883294,0.468256078084841
