"dataset","representation","method","k","run_id","fit_seed","silhouette_seed","n_used","p_used","nstart","iter_max","algorithm","silhouette_sample_n","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","total_withinss","iterations","ifault","runtime_sec"
"housing_years","original","kmeans",2,16,40092933,50092933,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,16,40092933,50092933,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,17,40092934,50092934,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0.0199999999999818
"housing_years","sparsified","kmeans",2,17,40092934,50092934,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,18,40092935,50092935,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,18,40092935,50092935,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,19,40092936,50092936,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,19,40092936,50092936,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,20,40092937,50092937,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,20,40092937,50092937,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0.00999999999999091
