"omitted_year","k","original_selected_k","sparsified_selected_k","original_selected_k_matches_full","sparsified_selected_k_matches_full","original_mean_silhouette","original_sd_silhouette","sparsified_mean_silhouette","sparsified_sd_silhouette","paired_difference_mean","paired_difference_sd","valid_paired_runs","full_original_mean_silhouette","full_sparsified_mean_silhouette","full_paired_difference_mean","original_mean_change_from_full","sparsified_mean_change_from_full","paired_difference_change_from_full"
1997,2,2,4,TRUE,TRUE,0.644703105838769,0,0.389652787080579,0,-0.255050318758189,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,-0.0118412473211927,-0.00730618746823286,0.00453505985295988
1997,3,2,4,TRUE,TRUE,0.592283200128822,0,0.557043466801706,0,-0.0352397333271156,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,-0.00916152726077546,-0.00889022860802724,0.00027129865274822
1997,4,2,4,TRUE,TRUE,0.566978052094533,0,0.66638503292431,0,0.0994069808297764,0,30,0.576943468633088,0.675924163706872,0.098980695073784,-0.00996541653855487,-0.00953913078256252,0.000426285755992351
1997,5,2,4,TRUE,TRUE,0.536076365457857,0,0.656209778919525,0,0.120133413461668,0,30,0.545630463460236,0.658013394766086,0.112382931305851,-0.00955409800237861,-0.00180361584656175,0.00775048215581685
1998,2,2,4,TRUE,TRUE,0.646726858208169,0,0.389024205174914,0,-0.257702653033255,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,-0.00981749495179196,-0.00793476937389809,0.00188272557789387
1998,3,2,4,TRUE,TRUE,0.591630851108502,0,0.556471307287479,0,-0.0351595438210228,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,-0.00981387628109487,-0.00946238812225386,0.000351488158841007
1998,4,2,4,TRUE,TRUE,0.565995894156549,0,0.665767164020004,0,0.099771269863455,0,30,0.576943468633088,0.675924163706872,0.098980695073784,-0.0109475744765393,-0.0101569996868683,0.000790574789670928
1998,5,2,4,TRUE,TRUE,0.534757061061306,0,0.655520591940752,0,0.120763530879446,0,30,0.545630463460236,0.658013394766086,0.112382931305851,-0.0108734023989296,-0.00249280282533459,0.00838059957359504
1999,2,2,4,TRUE,TRUE,0.646689393204943,0,0.388540043097892,0,-0.258149350107051,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,-0.00985495995501851,-0.00841893145092015,0.00143602850409835
1999,3,2,4,TRUE,TRUE,0.591495198736479,0,0.555980972173,0,-0.0355142265634782,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,-0.00994952865311827,-0.00995272323673269,-3.19458361441871e-06
1999,4,2,4,TRUE,TRUE,0.565765371925386,0,0.665318631181701,0,0.0995532592563146,0,30,0.576943468633088,0.675924163706872,0.098980695073784,-0.011178096707702,-0.0106055325251714,0.000572564182530599
1999,5,2,4,TRUE,TRUE,0.534303207395143,0,0.654951384819153,0,0.120648177424009,0,30,0.545630463460236,0.658013394766086,0.112382931305851,-0.0113272560650922,-0.00306200994693362,0.00826524611815858
2000,2,2,4,TRUE,TRUE,0.646364184595187,0,0.38823282415628,0,-0.258131360438908,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,-0.010180168564774,-0.00872615039253233,0.00145401817224167
2000,3,2,4,TRUE,TRUE,0.590887119395866,0,0.555724353825185,0,-0.0351627655706805,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,-0.0105576079937312,-0.0102093415845479,0.000348266409183284
2000,4,2,4,TRUE,TRUE,0.565005097956556,0,0.665017040096849,0,0.100011942140293,0,30,0.576943468633088,0.675924163706872,0.098980695073784,-0.011938370676532,-0.0109071236100233,0.0010312470665087
2000,5,2,4,TRUE,TRUE,0.533328954759022,0,0.654621872574738,0,0.121292917815716,0,30,0.545630463460236,0.658013394766086,0.112382931305851,-0.0123015087012135,-0.00339152219134786,0.00890998650986562
2001,2,2,4,TRUE,TRUE,0.646109995473584,0,0.388597018134088,0,-0.257512977339496,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,-0.0104343576863771,-0.00836195641472409,0.00207240127165303
2001,3,2,4,TRUE,TRUE,0.590398041734377,0,0.556143837874215,0,-0.0342542038601618,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,-0.01104668565522,-0.00978985753551798,0.00125682811970207
2001,4,2,4,TRUE,TRUE,0.564614339187083,0,0.665397151148754,0,0.100782811961671,0,30,0.576943468633088,0.675924163706872,0.098980695073784,-0.0123291294460053,-0.0105270125581181,0.00180211688788723
2001,5,2,4,TRUE,TRUE,0.532991207939258,0,0.65512297117269,0,0.122131763233432,0,30,0.545630463460236,0.658013394766086,0.112382931305851,-0.0126392555209777,-0.0028904235933962,0.00974883192758146
2002,2,2,4,TRUE,TRUE,0.64600290106896,0,0.38958534619883,0,-0.25641755487013,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,-0.0105414520910014,-0.00737362834998173,0.0031678237410197
2002,3,2,4,TRUE,TRUE,0.590134340160306,0,0.557176279467006,0,-0.0329580606933001,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,-0.0113103872292912,-0.0087574159427275,0.00255297128656373
2002,4,2,4,TRUE,TRUE,0.564609770451333,0,0.666415699449902,0,0.101805928998569,0,30,0.576943468633088,0.675924163706872,0.098980695073784,-0.0123336981817546,-0.00950846425696972,0.00282523392478484
2002,5,2,4,TRUE,TRUE,0.53328910619331,0,0.656424917514396,0,0.123135811321086,0,30,0.545630463460236,0.658013394766086,0.112382931305851,-0.0123413572669255,-0.00158847725169053,0.010752880015235
2003,2,2,4,TRUE,TRUE,0.645879020712042,0,0.392185507187123,0,-0.253693513524918,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,-0.0106653324479199,-0.00477346736168888,0.00589186508623102
2003,3,2,4,TRUE,TRUE,0.589886471234983,0,0.559757809735902,0,-0.0301286614990806,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,-0.0115582561546144,-0.00617588567383109,0.00538237048078327
2003,4,2,4,TRUE,TRUE,0.565106872800637,0,0.667158570484048,0,0.102051697683411,0,30,0.576943468633088,0.675924163706872,0.098980695073784,-0.0118365958324513,-0.008765593222824,0.00307100260962734
2003,5,2,4,TRUE,TRUE,0.534765339712413,0,0.659671363571042,0,0.124906023858629,0,30,0.545630463460236,0.658013394766086,0.112382931305851,-0.0108651237478224,0.0016579688049555,0.0125230925527779
2004,2,2,4,TRUE,TRUE,0.646188972298351,0,0.347032293792212,0,-0.299156678506139,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,-0.0103553808616104,-0.0499266807566005,-0.0395712998949901
2004,3,2,4,TRUE,TRUE,0.59052269508959,0,0.519624460083315,0,-0.070898235006275,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,-0.0109220323000071,-0.0463092353264183,-0.0353872030264112
2004,4,2,4,TRUE,TRUE,0.568199814332631,0,0.622853592319327,0,0.0546537779866961,0,30,0.576943468633088,0.675924163706872,0.098980695073784,-0.00874365430045698,-0.0530705713875449,-0.0443269170870879
2004,5,2,4,TRUE,TRUE,0.541169449860102,0,0.595128958312938,0,0.0539595084528354,0,30,0.545630463460236,0.658013394766086,0.112382931305851,-0.0044610136001334,-0.0628844364531487,-0.0584234228530153
2005,2,2,4,TRUE,TRUE,0.646983873961536,0,0.346814943481308,0,-0.300168930480229,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,-0.00956047919842495,-0.0501440310675046,-0.0405835518690796
2005,3,2,4,TRUE,TRUE,0.592034415279122,0,0.519373887909269,0,-0.0726605273698537,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,-0.00941031211047449,-0.0465598075004644,-0.0371494953899899
2005,4,2,4,TRUE,TRUE,0.57296695177058,0,0.62173051825415,0,0.0487635664835698,0,30,0.576943468633088,0.675924163706872,0.098980695073784,-0.00397651686250755,-0.0541936454527218,-0.0502171285902142
2005,5,2,4,TRUE,TRUE,0.550611882326253,0,0.592600415518757,0,0.0419885331925032,0,30,0.545630463460236,0.658013394766086,0.112382931305851,0.00498141886601777,-0.0654129792473297,-0.0703943981133475
2006,2,2,4,TRUE,TRUE,0.648633948673474,0,0.346843814765695,0,-0.301790133907779,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,-0.00791040448648761,-0.050115159783117,-0.0422047552966294
2006,3,2,4,TRUE,TRUE,0.595311442466268,0,0.519470030476646,0,-0.0758414119896227,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,-0.00613328492332854,-0.0464636649330874,-0.0403303800097589
2006,4,2,4,TRUE,TRUE,0.582339595993591,0,0.621332066721407,0,0.0389924707278158,0,30,0.576943468633088,0.675924163706872,0.098980695073784,0.00539612736050332,-0.054592096985465,-0.0599882243459683
2006,5,2,4,TRUE,TRUE,0.569953371808935,0,0.593675271920432,0,0.0237219001114972,0,30,0.545630463460236,0.658013394766086,0.112382931305851,0.0243229083486992,-0.0643381228456542,-0.0886610311943534
2007,2,2,4,TRUE,TRUE,0.652384519748206,0,0.347317896426141,0,-0.305066623322065,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,-0.00415983341175574,-0.0496410781226711,-0.0454812447109154
2007,3,2,4,TRUE,TRUE,0.603294848881072,0,0.520512770705924,0,-0.0827820781751476,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,0.0018501214914749,-0.0454209247038089,-0.0472710461952838
2007,4,2,4,TRUE,TRUE,0.606964589550978,0,0.622570334585739,0,0.0156057450347613,0,30,0.576943468633088,0.675924163706872,0.098980695073784,0.0300211209178896,-0.0533538291211332,-0.0833749500390227
2007,5,2,4,TRUE,TRUE,0.564006587913941,0.00615544415625787,0.604259398673991,0,0.0402528107600506,0.00615544415625787,30,0.545630463460236,0.658013394766086,0.112382931305851,0.0183761244537048,-0.0537539960920952,-0.0721301205458
2008,2,2,5,TRUE,FALSE,0.658485980739404,0,0.348617482490797,0,-0.309868498248607,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,0.00194162757944305,-0.0483414920580151,-0.0502831196374582
2008,3,2,5,TRUE,FALSE,0.617478896348437,0,0.522748291856392,0,-0.0947306044920444,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,0.0160341689588396,-0.043185403553341,-0.0592195725121806
2008,4,2,5,TRUE,FALSE,0.604419741416532,0,0.625410725118613,0,0.0209909837020806,0,30,0.576943468633088,0.675924163706872,0.098980695073784,0.0274762727834442,-0.0505134385882592,-0.0779897113717034
2008,5,2,5,TRUE,FALSE,0.574111893627768,0,0.632112386253202,0,0.0580004926254345,0,30,0.545630463460236,0.658013394766086,0.112382931305851,0.0284814301675319,-0.0259010085128842,-0.0543824386804162
2009,2,2,5,TRUE,FALSE,0.664103691734606,0,0.350072061600443,0,-0.314031630134162,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,0.00755933857464419,-0.0468869129483688,-0.054446251523013
2009,3,2,5,TRUE,FALSE,0.632609639177559,0,0.525166130834003,0,-0.107443508343556,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,0.0311649117879615,-0.0407675645757304,-0.0719324763636919
